"DATETIME","CFFEX.IC.2015.05.CLOSE","CFFEX.IC.2015.05.SETTLE","CFFEX.IC.2015.05.VOLUME","CFFEX.IC.2015.06.CLOSE","CFFEX.IC.2015.06.SETTLE","CFFEX.IC.2015.06.VOLUME","CFFEX.IC.2015.07.CLOSE","CFFEX.IC.2015.07.SETTLE","CFFEX.IC.2015.07.VOLUME","CFFEX.IC.2015.08.CLOSE","CFFEX.IC.2015.08.SETTLE","CFFEX.IC.2015.08.VOLUME","CFFEX.IC.2015.09.CLOSE","CFFEX.IC.2015.09.SETTLE","CFFEX.IC.2015.09.VOLUME","CFFEX.IC.2015.10.CLOSE","CFFEX.IC.2015.10.SETTLE","CFFEX.IC.2015.10.VOLUME","CFFEX.IC.2015.11.CLOSE","CFFEX.IC.2015.11.SETTLE","CFFEX.IC.2015.11.VOLUME","CFFEX.IC.2015.12.CLOSE","CFFEX.IC.2015.12.SETTLE","CFFEX.IC.2015.12.VOLUME","CFFEX.IC.2016.01.CLOSE","CFFEX.IC.2016.01.SETTLE","CFFEX.IC.2016.01.VOLUME","CFFEX.IC.2016.02.CLOSE","CFFEX.IC.2016.02.SETTLE","CFFEX.IC.2016.02.VOLUME","CFFEX.IC.2016.03.CLOSE","CFFEX.IC.2016.03.SETTLE","CFFEX.IC.2016.03.VOLUME","CFFEX.IC.2016.04.CLOSE","CFFEX.IC.2016.04.SETTLE","CFFEX.IC.2016.04.VOLUME","CFFEX.IC.2016.05.CLOSE","CFFEX.IC.2016.05.SETTLE","CFFEX.IC.2016.05.VOLUME","CFFEX.IC.2016.06.CLOSE","CFFEX.IC.2016.06.SETTLE","CFFEX.IC.2016.06.VOLUME","CFFEX.IC.2016.09.CLOSE","CFFEX.IC.2016.09.SETTLE","CFFEX.IC.2016.09.VOLUME","CFFEX.IC.2016.12.CLOSE","CFFEX.IC.2016.12.SETTLE","CFFEX.IC.2016.12.VOLUME"
"2015-04-16",7707.8,7642.8,116888,7652.4,7597.8,5285,NA,NA,NA,NA,NA,NA,7643.2,7604,743,NA,NA,NA,NA,NA,NA,7625.2,7571,484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-17",7758.2,7803.4,114214,7674.8,7719.4,7740,NA,NA,NA,NA,NA,NA,7608.8,7652.8,571,NA,NA,NA,NA,NA,NA,7562,7577.6,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-20",7622.2,7621.2,98781,7505,7510.2,5564,NA,NA,NA,NA,NA,NA,7419.4,7445.2,454,NA,NA,NA,NA,NA,NA,7388.2,7376.8,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-21",8140.4,8055.6,132545,8075,7963.2,6806,NA,NA,NA,NA,NA,NA,8024,7862.4,610,NA,NA,NA,NA,NA,NA,7941.8,7797.8,632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-22",8189.8,8197.2,121034,8126.6,8135.6,7002,NA,NA,NA,NA,NA,NA,8029,8030.8,702,NA,NA,NA,NA,NA,NA,7926.8,7942,751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-23",8265.6,8266.4,132278,8204,8194.6,5799,NA,NA,NA,NA,NA,NA,8102,8079.2,461,NA,NA,NA,NA,NA,NA,8043,8017.8,486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-24",8327.2,8307.6,126381,8240,8220.4,6943,NA,NA,NA,NA,NA,NA,8120,8120.4,595,NA,NA,NA,NA,NA,NA,8039,8022,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-27",8347.2,8361.6,125335,8262.6,8282.6,7851,NA,NA,NA,NA,NA,NA,8187,8200.6,1046,NA,NA,NA,NA,NA,NA,8068.2,8083.8,633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-28",8147,8087.4,164120,8054,8009,9281,NA,NA,NA,NA,NA,NA,7993.4,7943.2,849,NA,NA,NA,NA,NA,NA,7894.2,7833,537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-29",8302.2,8276.2,134158,8209,8182.8,5535,NA,NA,NA,NA,NA,NA,8118,8105.8,679,NA,NA,NA,NA,NA,NA,8024,8000.6,392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-30",8338.8,8355.4,120118,8234.6,8253.8,5500,NA,NA,NA,NA,NA,NA,8154,8174.2,354,NA,NA,NA,NA,NA,NA,8041,8066.2,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
