"DATETIME","CFFEX.IF.2010.05.CLOSE","CFFEX.IF.2010.05.SETTLE","CFFEX.IF.2010.05.VOLUME","CFFEX.IF.2010.06.CLOSE","CFFEX.IF.2010.06.SETTLE","CFFEX.IF.2010.06.VOLUME","CFFEX.IF.2010.07.CLOSE","CFFEX.IF.2010.07.SETTLE","CFFEX.IF.2010.07.VOLUME","CFFEX.IF.2010.08.CLOSE","CFFEX.IF.2010.08.SETTLE","CFFEX.IF.2010.08.VOLUME","CFFEX.IF.2010.09.CLOSE","CFFEX.IF.2010.09.SETTLE","CFFEX.IF.2010.09.VOLUME","CFFEX.IF.2010.10.CLOSE","CFFEX.IF.2010.10.SETTLE","CFFEX.IF.2010.10.VOLUME","CFFEX.IF.2010.11.CLOSE","CFFEX.IF.2010.11.SETTLE","CFFEX.IF.2010.11.VOLUME","CFFEX.IF.2010.12.CLOSE","CFFEX.IF.2010.12.SETTLE","CFFEX.IF.2010.12.VOLUME","CFFEX.IF.2011.01.CLOSE","CFFEX.IF.2011.01.SETTLE","CFFEX.IF.2011.01.VOLUME","CFFEX.IF.2011.02.CLOSE","CFFEX.IF.2011.02.SETTLE","CFFEX.IF.2011.02.VOLUME","CFFEX.IF.2011.03.CLOSE","CFFEX.IF.2011.03.SETTLE","CFFEX.IF.2011.03.VOLUME","CFFEX.IF.2011.04.CLOSE","CFFEX.IF.2011.04.SETTLE","CFFEX.IF.2011.04.VOLUME","CFFEX.IF.2011.05.CLOSE","CFFEX.IF.2011.05.SETTLE","CFFEX.IF.2011.05.VOLUME","CFFEX.IF.2011.06.CLOSE","CFFEX.IF.2011.06.SETTLE","CFFEX.IF.2011.06.VOLUME","CFFEX.IF.2011.07.CLOSE","CFFEX.IF.2011.07.SETTLE","CFFEX.IF.2011.07.VOLUME","CFFEX.IF.2011.08.CLOSE","CFFEX.IF.2011.08.SETTLE","CFFEX.IF.2011.08.VOLUME","CFFEX.IF.2011.09.CLOSE","CFFEX.IF.2011.09.SETTLE","CFFEX.IF.2011.09.VOLUME","CFFEX.IF.2011.10.CLOSE","CFFEX.IF.2011.10.SETTLE","CFFEX.IF.2011.10.VOLUME","CFFEX.IF.2011.11.CLOSE","CFFEX.IF.2011.11.SETTLE","CFFEX.IF.2011.11.VOLUME","CFFEX.IF.2011.12.CLOSE","CFFEX.IF.2011.12.SETTLE","CFFEX.IF.2011.12.VOLUME","CFFEX.IF.2012.01.CLOSE","CFFEX.IF.2012.01.SETTLE","CFFEX.IF.2012.01.VOLUME","CFFEX.IF.2012.02.CLOSE","CFFEX.IF.2012.02.SETTLE","CFFEX.IF.2012.02.VOLUME","CFFEX.IF.2012.03.CLOSE","CFFEX.IF.2012.03.SETTLE","CFFEX.IF.2012.03.VOLUME","CFFEX.IF.2012.04.CLOSE","CFFEX.IF.2012.04.SETTLE","CFFEX.IF.2012.04.VOLUME","CFFEX.IF.2012.05.CLOSE","CFFEX.IF.2012.05.SETTLE","CFFEX.IF.2012.05.VOLUME","CFFEX.IF.2012.06.CLOSE","CFFEX.IF.2012.06.SETTLE","CFFEX.IF.2012.06.VOLUME","CFFEX.IF.2012.07.CLOSE","CFFEX.IF.2012.07.SETTLE","CFFEX.IF.2012.07.VOLUME","CFFEX.IF.2012.08.CLOSE","CFFEX.IF.2012.08.SETTLE","CFFEX.IF.2012.08.VOLUME","CFFEX.IF.2012.09.CLOSE","CFFEX.IF.2012.09.SETTLE","CFFEX.IF.2012.09.VOLUME","CFFEX.IF.2012.10.CLOSE","CFFEX.IF.2012.10.SETTLE","CFFEX.IF.2012.10.VOLUME","CFFEX.IF.2012.11.CLOSE","CFFEX.IF.2012.11.SETTLE","CFFEX.IF.2012.11.VOLUME","CFFEX.IF.2012.12.CLOSE","CFFEX.IF.2012.12.SETTLE","CFFEX.IF.2012.12.VOLUME","CFFEX.IF.2013.01.CLOSE","CFFEX.IF.2013.01.SETTLE","CFFEX.IF.2013.01.VOLUME","CFFEX.IF.2013.02.CLOSE","CFFEX.IF.2013.02.SETTLE","CFFEX.IF.2013.02.VOLUME","CFFEX.IF.2013.03.CLOSE","CFFEX.IF.2013.03.SETTLE","CFFEX.IF.2013.03.VOLUME","CFFEX.IF.2013.04.CLOSE","CFFEX.IF.2013.04.SETTLE","CFFEX.IF.2013.04.VOLUME","CFFEX.IF.2013.05.CLOSE","CFFEX.IF.2013.05.SETTLE","CFFEX.IF.2013.05.VOLUME","CFFEX.IF.2013.06.CLOSE","CFFEX.IF.2013.06.SETTLE","CFFEX.IF.2013.06.VOLUME","CFFEX.IF.2013.07.CLOSE","CFFEX.IF.2013.07.SETTLE","CFFEX.IF.2013.07.VOLUME","CFFEX.IF.2013.08.CLOSE","CFFEX.IF.2013.08.SETTLE","CFFEX.IF.2013.08.VOLUME","CFFEX.IF.2013.09.CLOSE","CFFEX.IF.2013.09.SETTLE","CFFEX.IF.2013.09.VOLUME","CFFEX.IF.2013.10.CLOSE","CFFEX.IF.2013.10.SETTLE","CFFEX.IF.2013.10.VOLUME","CFFEX.IF.2013.11.CLOSE","CFFEX.IF.2013.11.SETTLE","CFFEX.IF.2013.11.VOLUME","CFFEX.IF.2013.12.CLOSE","CFFEX.IF.2013.12.SETTLE","CFFEX.IF.2013.12.VOLUME","CFFEX.IF.2014.01.CLOSE","CFFEX.IF.2014.01.SETTLE","CFFEX.IF.2014.01.VOLUME","CFFEX.IF.2014.02.CLOSE","CFFEX.IF.2014.02.SETTLE","CFFEX.IF.2014.02.VOLUME","CFFEX.IF.2014.03.CLOSE","CFFEX.IF.2014.03.SETTLE","CFFEX.IF.2014.03.VOLUME","CFFEX.IF.2014.04.CLOSE","CFFEX.IF.2014.04.SETTLE","CFFEX.IF.2014.04.VOLUME","CFFEX.IF.2014.05.CLOSE","CFFEX.IF.2014.05.SETTLE","CFFEX.IF.2014.05.VOLUME","CFFEX.IF.2014.06.CLOSE","CFFEX.IF.2014.06.SETTLE","CFFEX.IF.2014.06.VOLUME","CFFEX.IF.2014.07.CLOSE","CFFEX.IF.2014.07.SETTLE","CFFEX.IF.2014.07.VOLUME","CFFEX.IF.2014.08.CLOSE","CFFEX.IF.2014.08.SETTLE","CFFEX.IF.2014.08.VOLUME","CFFEX.IF.2014.09.CLOSE","CFFEX.IF.2014.09.SETTLE","CFFEX.IF.2014.09.VOLUME","CFFEX.IF.2014.10.CLOSE","CFFEX.IF.2014.10.SETTLE","CFFEX.IF.2014.10.VOLUME","CFFEX.IF.2014.11.CLOSE","CFFEX.IF.2014.11.SETTLE","CFFEX.IF.2014.11.VOLUME","CFFEX.IF.2014.12.CLOSE","CFFEX.IF.2014.12.SETTLE","CFFEX.IF.2014.12.VOLUME","CFFEX.IF.2015.01.CLOSE","CFFEX.IF.2015.01.SETTLE","CFFEX.IF.2015.01.VOLUME","CFFEX.IF.2015.02.CLOSE","CFFEX.IF.2015.02.SETTLE","CFFEX.IF.2015.02.VOLUME","CFFEX.IF.2015.03.CLOSE","CFFEX.IF.2015.03.SETTLE","CFFEX.IF.2015.03.VOLUME","CFFEX.IF.2015.04.CLOSE","CFFEX.IF.2015.04.SETTLE","CFFEX.IF.2015.04.VOLUME","CFFEX.IF.2015.05.CLOSE","CFFEX.IF.2015.05.SETTLE","CFFEX.IF.2015.05.VOLUME","CFFEX.IF.2015.06.CLOSE","CFFEX.IF.2015.06.SETTLE","CFFEX.IF.2015.06.VOLUME","CFFEX.IF.2015.07.CLOSE","CFFEX.IF.2015.07.SETTLE","CFFEX.IF.2015.07.VOLUME","CFFEX.IF.2015.08.CLOSE","CFFEX.IF.2015.08.SETTLE","CFFEX.IF.2015.08.VOLUME","CFFEX.IF.2015.09.CLOSE","CFFEX.IF.2015.09.SETTLE","CFFEX.IF.2015.09.VOLUME","CFFEX.IF.2015.10.CLOSE","CFFEX.IF.2015.10.SETTLE","CFFEX.IF.2015.10.VOLUME","CFFEX.IF.2015.11.CLOSE","CFFEX.IF.2015.11.SETTLE","CFFEX.IF.2015.11.VOLUME","CFFEX.IF.2015.12.CLOSE","CFFEX.IF.2015.12.SETTLE","CFFEX.IF.2015.12.VOLUME","CFFEX.IF.2016.01.CLOSE","CFFEX.IF.2016.01.SETTLE","CFFEX.IF.2016.01.VOLUME","CFFEX.IF.2016.02.CLOSE","CFFEX.IF.2016.02.SETTLE","CFFEX.IF.2016.02.VOLUME","CFFEX.IF.2016.03.CLOSE","CFFEX.IF.2016.03.SETTLE","CFFEX.IF.2016.03.VOLUME","CFFEX.IF.2016.04.CLOSE","CFFEX.IF.2016.04.SETTLE","CFFEX.IF.2016.04.VOLUME","CFFEX.IF.2016.05.CLOSE","CFFEX.IF.2016.05.SETTLE","CFFEX.IF.2016.05.VOLUME","CFFEX.IF.2016.06.CLOSE","CFFEX.IF.2016.06.SETTLE","CFFEX.IF.2016.06.VOLUME","CFFEX.IF.2016.09.CLOSE","CFFEX.IF.2016.09.SETTLE","CFFEX.IF.2016.09.VOLUME","CFFEX.IF.2016.12.CLOSE","CFFEX.IF.2016.12.SETTLE","CFFEX.IF.2016.12.VOLUME"
"2010-04-16",3415.6,3431.2,48988,3441.6,3456.2,4908,NA,NA,NA,NA,NA,NA,3512,3520.4,1730,NA,NA,NA,NA,NA,NA,3557,3565.4,2831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010-04-19",3197.4,3201.2,109733,3218,3223,8093,NA,NA,NA,NA,NA,NA,3262,3283.6,2471,NA,NA,NA,NA,NA,NA,3320,3335.8,3315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010-04-20",3214.6,3216.6,141862,3241.4,3242.6,8005,NA,NA,NA,NA,NA,NA,3292,3292,1979,NA,NA,NA,NA,NA,NA,3353,3352.2,1573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010-04-21",3267.2,3266,114531,3292.8,3294,4678,NA,NA,NA,NA,NA,NA,3348,3345.4,752,NA,NA,NA,NA,NA,NA,3409,3407.4,1062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010-04-22",3236.2,3240,133247,3266.8,3268.8,5281,NA,NA,NA,NA,NA,NA,3316,3320.2,932,NA,NA,NA,NA,NA,NA,3387.4,3388.4,847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010-04-23",3221.2,3235.6,116981,3255.8,3267.2,3697,NA,NA,NA,NA,NA,NA,3304,3317.6,615,NA,NA,NA,NA,NA,NA,3385,3392.6,670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010-04-26",3219.6,3224.8,112229,3255,3259.8,3082,NA,NA,NA,NA,NA,NA,3312,3314.2,430,NA,NA,NA,NA,NA,NA,3390.4,3391.2,518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010-04-27",3138.8,3121.8,139961,3180.4,3164.4,4616,NA,NA,NA,NA,NA,NA,3262.8,3242.6,686,NA,NA,NA,NA,NA,NA,3338.2,3328.4,860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010-04-28",3129,3132.8,128530,3172,3175.8,4316,NA,NA,NA,NA,NA,NA,3255,3256.2,383,NA,NA,NA,NA,NA,NA,3339.8,3341.4,562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010-04-29",3083.8,3114.4,116254,3131,3155.2,4331,NA,NA,NA,NA,NA,NA,3215,3240.4,290,NA,NA,NA,NA,NA,NA,3298.2,3322.4,379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
