"DATETIME","CFFEX.IH.2015.05.CLOSE","CFFEX.IH.2015.05.SETTLE","CFFEX.IH.2015.05.VOLUME","CFFEX.IH.2015.06.CLOSE","CFFEX.IH.2015.06.SETTLE","CFFEX.IH.2015.06.VOLUME","CFFEX.IH.2015.07.CLOSE","CFFEX.IH.2015.07.SETTLE","CFFEX.IH.2015.07.VOLUME","CFFEX.IH.2015.08.CLOSE","CFFEX.IH.2015.08.SETTLE","CFFEX.IH.2015.08.VOLUME","CFFEX.IH.2015.09.CLOSE","CFFEX.IH.2015.09.SETTLE","CFFEX.IH.2015.09.VOLUME","CFFEX.IH.2015.10.CLOSE","CFFEX.IH.2015.10.SETTLE","CFFEX.IH.2015.10.VOLUME","CFFEX.IH.2015.11.CLOSE","CFFEX.IH.2015.11.SETTLE","CFFEX.IH.2015.11.VOLUME","CFFEX.IH.2015.12.CLOSE","CFFEX.IH.2015.12.SETTLE","CFFEX.IH.2015.12.VOLUME","CFFEX.IH.2016.01.CLOSE","CFFEX.IH.2016.01.SETTLE","CFFEX.IH.2016.01.VOLUME","CFFEX.IH.2016.02.CLOSE","CFFEX.IH.2016.02.SETTLE","CFFEX.IH.2016.02.VOLUME","CFFEX.IH.2016.03.CLOSE","CFFEX.IH.2016.03.SETTLE","CFFEX.IH.2016.03.VOLUME","CFFEX.IH.2016.04.CLOSE","CFFEX.IH.2016.04.SETTLE","CFFEX.IH.2016.04.VOLUME","CFFEX.IH.2016.05.CLOSE","CFFEX.IH.2016.05.SETTLE","CFFEX.IH.2016.05.VOLUME","CFFEX.IH.2016.06.CLOSE","CFFEX.IH.2016.06.SETTLE","CFFEX.IH.2016.06.VOLUME","CFFEX.IH.2016.09.CLOSE","CFFEX.IH.2016.09.SETTLE","CFFEX.IH.2016.09.VOLUME","CFFEX.IH.2016.12.CLOSE","CFFEX.IH.2016.12.SETTLE","CFFEX.IH.2016.12.VOLUME"
"2015-04-16",3283.8,3223.6,144423,3295,3237.6,10000,NA,NA,NA,NA,NA,NA,3298.8,3251.6,1727,NA,NA,NA,NA,NA,NA,3318.4,3259.4,717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-17",3254,3280.8,271224,3267.8,3283.8,17943,NA,NA,NA,NA,NA,NA,3284.6,3301.8,3220,NA,NA,NA,NA,NA,NA,3315.4,3336.6,574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-20",3146.8,3176.8,267213,3154,3185.6,20581,NA,NA,NA,NA,NA,NA,3167.6,3194.4,3376,NA,NA,NA,NA,NA,NA,3212.8,3244.8,482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-21",3234,3211.2,239311,3238.8,3219,13016,NA,NA,NA,NA,NA,NA,3248.8,3228.4,2094,NA,NA,NA,NA,NA,NA,3298.8,3279.2,411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-22",3308,3309.6,239676,3316.4,3312.2,11398,NA,NA,NA,NA,NA,NA,3332,3327,1938,NA,NA,NA,NA,NA,NA,3380.4,3375,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-23",3267.8,3273.2,246929,3271.8,3278.6,12531,NA,NA,NA,NA,NA,NA,3286,3293.2,2723,NA,NA,NA,NA,NA,NA,3334.6,3340.8,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-24",3233,3236.6,224297,3236.8,3238,9437,NA,NA,NA,NA,NA,NA,3243.6,3247,2097,NA,NA,NA,NA,NA,NA,3289.4,3293.8,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-27",3357.6,3326.4,259172,3358,3329.6,13093,NA,NA,NA,NA,NA,NA,3366.6,3341.4,1907,NA,NA,NA,NA,NA,NA,3393.8,3381.6,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-28",3286.8,3287,329692,3292,3294.6,17714,NA,NA,NA,NA,NA,NA,3304.4,3303.2,2886,NA,NA,NA,NA,NA,NA,3352.4,3346.2,434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-29",3295.2,3301.6,242567,3302.6,3308,11779,NA,NA,NA,NA,NA,NA,3310.4,3315.6,1752,NA,NA,NA,NA,NA,NA,3353.4,3361.4,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-30",3269.4,3275.4,202408,3276,3282.8,12104,NA,NA,NA,NA,NA,NA,3279.4,3289.6,1023,NA,NA,NA,NA,NA,NA,3325.8,3327.8,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-05-04",3273.2,3269.4,189061,3279.2,3275.8,11282,NA,NA,NA,NA,NA,NA,3287,3284.4,1343,NA,NA,NA,NA,NA,NA,3333.2,3327.2,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-05-05",3163,3165.8,217674,3173,3171.4,15195,NA,NA,NA,NA,NA,NA,3178,3180.6,2099,NA,NA,NA,NA,NA,NA,3221.2,3219.2,377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-05-06",3153,3149,261933,3161,3157.8,20601,NA,NA,NA,NA,NA,NA,3165.2,3164.6,2579,NA,NA,NA,NA,NA,NA,3205.8,3205,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-05-07",3111.2,3128.4,234619,3121.8,3137.4,16244,NA,NA,NA,NA,NA,NA,3130.4,3149,3172,NA,NA,NA,NA,NA,NA,3169.6,3182.8,464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-05-08",3099.8,3099.2,215483,3112.6,3111.4,19808,NA,NA,NA,NA,NA,NA,3121.2,3118.8,2667,NA,NA,NA,NA,NA,NA,3169.8,3159,572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
