"DATETIME","CFFEX.T.2015.09.CLOSE","CFFEX.T.2015.09.SETTLE","CFFEX.T.2015.09.VOLUME","CFFEX.T.2015.12.CLOSE","CFFEX.T.2015.12.SETTLE","CFFEX.T.2015.12.VOLUME","CFFEX.T.2016.03.CLOSE","CFFEX.T.2016.03.SETTLE","CFFEX.T.2016.03.VOLUME","CFFEX.T.2016.06.CLOSE","CFFEX.T.2016.06.SETTLE","CFFEX.T.2016.06.VOLUME","CFFEX.T.2016.09.CLOSE","CFFEX.T.2016.09.SETTLE","CFFEX.T.2016.09.VOLUME","CFFEX.T.2016.12.CLOSE","CFFEX.T.2016.12.SETTLE","CFFEX.T.2016.12.VOLUME"
"2015-03-20",97.09,97.05,3332,97.44,97.5,63,97.79,97.7,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-03-23",97.02,96.96,1386,97.435,97.405,0,97.1,97.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-03-24",96.92,96.91,1380,97.435,97.355,0,97.58,97.58,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-03-25",96.85,96.84,1234,97.5,97.495,9,97.58,97.51,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-03-26",96.37,96.42,1073,97,97,4,97.58,97.09,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-03-27",96.49,96.375,1792,96.835,96.93,3,97.275,97.13,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-03-30",96.16,96.09,1153,96.675,96.675,5,97.2,97.265,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-03-31",95.65,95.71,2327,96.145,96.11,9,97.2,96.885,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-01",96.095,95.99,673,96.145,96.39,0,97.2,97.165,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-02",96.32,96.29,1011,96.695,96.695,1,97.2,97.465,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-03",96.01,96.09,1099,96.695,96.495,0,97.2,97.265,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-07",95.93,95.98,831,96.4,96.4,6,97.2,97.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-08",95.16,95.23,2904,95.55,95.59,34,96.83,96.64,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-09",95.265,95.24,1389,95.76,95.76,14,96.2,96.2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-10",95.19,95.21,1073,95.76,95.73,0,96.2,96.17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-13",95.63,95.62,1895,95.8,95.8,6,96.38,96.38,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
