"DATETIME","CFFEX.TF.2013.12.CLOSE","CFFEX.TF.2013.12.SETTLE","CFFEX.TF.2013.12.VOLUME","CFFEX.TF.2014.03.CLOSE","CFFEX.TF.2014.03.SETTLE","CFFEX.TF.2014.03.VOLUME","CFFEX.TF.2014.06.CLOSE","CFFEX.TF.2014.06.SETTLE","CFFEX.TF.2014.06.VOLUME","CFFEX.TF.2014.09.CLOSE","CFFEX.TF.2014.09.SETTLE","CFFEX.TF.2014.09.VOLUME","CFFEX.TF.2014.12.CLOSE","CFFEX.TF.2014.12.SETTLE","CFFEX.TF.2014.12.VOLUME","CFFEX.TF.2015.03.CLOSE","CFFEX.TF.2015.03.SETTLE","CFFEX.TF.2015.03.VOLUME","CFFEX.TF.2015.06.CLOSE","CFFEX.TF.2015.06.SETTLE","CFFEX.TF.2015.06.VOLUME","CFFEX.TF.2015.09.CLOSE","CFFEX.TF.2015.09.SETTLE","CFFEX.TF.2015.09.VOLUME","CFFEX.TF.2015.12.CLOSE","CFFEX.TF.2015.12.SETTLE","CFFEX.TF.2015.12.VOLUME","CFFEX.TF.2016.03.CLOSE","CFFEX.TF.2016.03.SETTLE","CFFEX.TF.2016.03.VOLUME","CFFEX.TF.2016.06.CLOSE","CFFEX.TF.2016.06.SETTLE","CFFEX.TF.2016.06.VOLUME","CFFEX.TF.2016.09.CLOSE","CFFEX.TF.2016.09.SETTLE","CFFEX.TF.2016.09.VOLUME","CFFEX.TF.2016.12.CLOSE","CFFEX.TF.2016.12.SETTLE","CFFEX.TF.2016.12.VOLUME"
"2013-09-06",94.17,94.192,34248,94.288,94.312,1840,94.344,94.358,547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-09-09",93.906,93.916,11831,94,94.022,855,94.07,94.074,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-09-10",93.842,93.846,5375,93.93,93.926,311,94.008,94.008,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-09-11",93.598,93.556,8830,93.688,93.63,348,93.766,93.732,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-09-12",93.728,93.752,8379,93.842,93.868,328,93.926,93.95,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-09-13",93.764,93.768,6901,93.892,93.884,159,93.972,93.97,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-09-16",93.854,93.86,3850,93.966,93.98,91,94.052,94.05,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-09-17",94.234,94.244,22275,94.044,94.298,528,94.396,94.42,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-09-18",94.206,94.218,10692,94.31,94.284,220,94.364,94.386,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-09-23",94.35,94.36,7345,94.438,94.458,212,94.45,94.504,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-09-24",94.34,94.33,5063,94.43,94.406,123,94.482,94.446,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-09-25",94.42,94.43,8207,94.49,94.49,173,94.52,94.522,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-09-26",94.572,94.572,5405,94.636,94.638,52,94.668,94.644,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-09-27",94.346,94.362,4453,94.404,94.422,103,94.406,94.422,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-09-30",94.462,94.444,3515,94.484,94.486,58,94.496,94.486,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-10-08",94.412,94.422,2399,94.462,94.478,32,94.456,94.462,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-10-09",94.362,94.346,1869,94.38,94.368,62,94.396,94.38,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-10-10",94.35,94.33,1506,94.37,94.366,21,94.398,94.386,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-10-11",94.29,94.294,1730,94.328,94.328,20,94.318,94.318,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-10-14",94.118,94.084,2493,94.158,94.15,64,94.188,94.188,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-10-15",93.948,93.942,2242,94.044,94.024,80,94.058,94.068,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-10-16",94.012,94,3253,94.112,94.092,72,94.198,94.196,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-10-17",93.926,93.93,1616,94.04,94.042,20,94.13,94.142,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-10-18",93.886,93.87,1002,94.016,93.996,27,94.092,94.1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-10-21",93.858,93.866,1068,93.984,93.984,21,94.104,94.104,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-10-22",93.772,93.756,2021,93.91,93.896,29,94.024,94.024,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-10-23",93.812,93.806,1846,93.94,93.94,56,94.036,94.036,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-10-24",93.6,93.606,2129,93.778,93.76,70,93.872,93.872,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-10-25",93.688,93.63,2209,93.85,93.798,43,93.962,93.954,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-10-28",93.67,93.67,1640,93.85,93.852,51,94.006,94.004,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-10-29",93.504,93.538,2602,93.744,93.754,47,93.942,93.936,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-10-30",93.54,93.526,1873,93.754,93.748,43,93.946,93.946,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-10-31",93.74,93.718,2171,93.956,93.948,14,94.002,94.008,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-11-01",93.836,93.806,1713,94.026,94.01,48,94.11,94.108,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-11-04",93.632,93.652,2025,93.828,93.822,35,94.006,93.994,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-11-05",93.474,93.474,2428,93.756,93.766,94,93.894,93.92,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
