"DATETIME","DCE.CS.2015.03.CLOSE","DCE.CS.2015.03.SETTLE","DCE.CS.2015.03.VOLUME","DCE.CS.2015.05.CLOSE","DCE.CS.2015.05.SETTLE","DCE.CS.2015.05.VOLUME","DCE.CS.2015.07.CLOSE","DCE.CS.2015.07.SETTLE","DCE.CS.2015.07.VOLUME","DCE.CS.2015.09.CLOSE","DCE.CS.2015.09.SETTLE","DCE.CS.2015.09.VOLUME","DCE.CS.2015.11.CLOSE","DCE.CS.2015.11.SETTLE","DCE.CS.2015.11.VOLUME","DCE.CS.2016.01.CLOSE","DCE.CS.2016.01.SETTLE","DCE.CS.2016.01.VOLUME","DCE.CS.2016.03.CLOSE","DCE.CS.2016.03.SETTLE","DCE.CS.2016.03.VOLUME","DCE.CS.2016.05.CLOSE","DCE.CS.2016.05.SETTLE","DCE.CS.2016.05.VOLUME","DCE.CS.2016.07.CLOSE","DCE.CS.2016.07.SETTLE","DCE.CS.2016.07.VOLUME","DCE.CS.2016.09.CLOSE","DCE.CS.2016.09.SETTLE","DCE.CS.2016.09.VOLUME","DCE.CS.2016.11.CLOSE","DCE.CS.2016.11.SETTLE","DCE.CS.2016.11.VOLUME","DCE.CS.2017.01.CLOSE","DCE.CS.2017.01.SETTLE","DCE.CS.2017.01.VOLUME"
"2014-12-19",2730,2751,156,2793,2806,29124,2827,2823,30,2858,2869,4922,2803,2795,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-12-22",2686,2688,50,2738,2755,26170,2823,2823,0,2825,2834,2976,2765,2765,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-12-23",2668,2668,8,2740,2745,18726,2823,2823,0,2831,2829,690,2722,2731,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-12-24",2640,2644,50,2752,2752,8284,2803,2803,0,2836,2837,504,2675,2694,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-12-25",2631,2613,8,2727,2724,20260,2735,2773,6,2816,2810,748,2694,2694,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-12-26",2630,2630,12,2721,2726,9158,2735,2773,0,2816,2817,348,2694,2694,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-12-29",2618,2622,54,2731,2729,5406,2758,2758,2,2840,2834,778,2694,2716,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-12-30",2617,2615,18,2721,2721,9056,2758,2758,0,2838,2832,644,2694,2716,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-12-31",2615,2622,44,2713,2718,5280,2758,2758,0,2837,2838,376,2694,2716,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-01-05",2613,2610,24,2684,2691,13408,2758,2731,0,2841,2832,1392,2694,2716,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-01-06",2588,2586,8,2630,2652,28882,2758,2731,0,2779,2810,2484,2670,2670,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-01-07",2585,2606,4,2643,2639,16506,2758,2731,0,2798,2792,818,2670,2670,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-01-08",2585,2606,0,2652,2648,10858,2758,2731,0,2810,2804,720,2704,2703,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-01-09",2605,2595,14,2648,2648,12278,2758,2731,0,2806,2803,854,2704,2703,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-01-12",2605,2595,0,2658,2653,8452,2758,2731,0,2813,2809,530,2704,2703,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
