"DATETIME","DCE.I.2014.03.CLOSE","DCE.I.2014.03.SETTLE","DCE.I.2014.03.VOLUME","DCE.I.2014.04.CLOSE","DCE.I.2014.04.SETTLE","DCE.I.2014.04.VOLUME","DCE.I.2014.05.CLOSE","DCE.I.2014.05.SETTLE","DCE.I.2014.05.VOLUME","DCE.I.2014.06.CLOSE","DCE.I.2014.06.SETTLE","DCE.I.2014.06.VOLUME","DCE.I.2014.07.CLOSE","DCE.I.2014.07.SETTLE","DCE.I.2014.07.VOLUME","DCE.I.2014.08.CLOSE","DCE.I.2014.08.SETTLE","DCE.I.2014.08.VOLUME","DCE.I.2014.09.CLOSE","DCE.I.2014.09.SETTLE","DCE.I.2014.09.VOLUME","DCE.I.2014.10.CLOSE","DCE.I.2014.10.SETTLE","DCE.I.2014.10.VOLUME","DCE.I.2014.11.CLOSE","DCE.I.2014.11.SETTLE","DCE.I.2014.11.VOLUME","DCE.I.2014.12.CLOSE","DCE.I.2014.12.SETTLE","DCE.I.2014.12.VOLUME","DCE.I.2015.01.CLOSE","DCE.I.2015.01.SETTLE","DCE.I.2015.01.VOLUME","DCE.I.2015.02.CLOSE","DCE.I.2015.02.SETTLE","DCE.I.2015.02.VOLUME","DCE.I.2015.03.CLOSE","DCE.I.2015.03.SETTLE","DCE.I.2015.03.VOLUME","DCE.I.2015.04.CLOSE","DCE.I.2015.04.SETTLE","DCE.I.2015.04.VOLUME","DCE.I.2015.05.CLOSE","DCE.I.2015.05.SETTLE","DCE.I.2015.05.VOLUME","DCE.I.2015.06.CLOSE","DCE.I.2015.06.SETTLE","DCE.I.2015.06.VOLUME","DCE.I.2015.07.CLOSE","DCE.I.2015.07.SETTLE","DCE.I.2015.07.VOLUME","DCE.I.2015.08.CLOSE","DCE.I.2015.08.SETTLE","DCE.I.2015.08.VOLUME","DCE.I.2015.09.CLOSE","DCE.I.2015.09.SETTLE","DCE.I.2015.09.VOLUME","DCE.I.2015.10.CLOSE","DCE.I.2015.10.SETTLE","DCE.I.2015.10.VOLUME","DCE.I.2015.11.CLOSE","DCE.I.2015.11.SETTLE","DCE.I.2015.11.VOLUME","DCE.I.2015.12.CLOSE","DCE.I.2015.12.SETTLE","DCE.I.2015.12.VOLUME","DCE.I.2016.01.CLOSE","DCE.I.2016.01.SETTLE","DCE.I.2016.01.VOLUME","DCE.I.2016.02.CLOSE","DCE.I.2016.02.SETTLE","DCE.I.2016.02.VOLUME","DCE.I.2016.03.CLOSE","DCE.I.2016.03.SETTLE","DCE.I.2016.03.VOLUME","DCE.I.2016.04.CLOSE","DCE.I.2016.04.SETTLE","DCE.I.2016.04.VOLUME","DCE.I.2016.05.CLOSE","DCE.I.2016.05.SETTLE","DCE.I.2016.05.VOLUME","DCE.I.2016.06.CLOSE","DCE.I.2016.06.SETTLE","DCE.I.2016.06.VOLUME","DCE.I.2016.07.CLOSE","DCE.I.2016.07.SETTLE","DCE.I.2016.07.VOLUME","DCE.I.2016.08.CLOSE","DCE.I.2016.08.SETTLE","DCE.I.2016.08.VOLUME","DCE.I.2016.09.CLOSE","DCE.I.2016.09.SETTLE","DCE.I.2016.09.VOLUME","DCE.I.2016.10.CLOSE","DCE.I.2016.10.SETTLE","DCE.I.2016.10.VOLUME","DCE.I.2016.11.CLOSE","DCE.I.2016.11.SETTLE","DCE.I.2016.11.VOLUME","DCE.I.2016.12.CLOSE","DCE.I.2016.12.SETTLE","DCE.I.2016.12.VOLUME","DCE.I.2017.01.CLOSE","DCE.I.2017.01.SETTLE","DCE.I.2017.01.VOLUME"
"2013-10-18",986,985,25394,968,970,472,977,975,300818,955,957,58,953,950,52,959,948,68,953,949,11838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-10-21",980,980,4876,960,961,42,969,967,95432,951,950,40,941,941,2,944,947,8,938,942,3626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-10-22",963,967,4078,948,951,120,948,956,91296,950,950,0,935,938,54,927,928,10,920,927,3254,949,949,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-10-23",951,956,2668,940,943,174,939,944,116490,924,928,24,933,933,0,928,928,0,919,921,3098,928,928,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-10-24",936,938,3522,940,940,4,926,928,169028,919,913,4,915,913,6,917,917,2,910,912,4650,901,912,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-10-25",931,935,1962,931,934,38,918,927,104060,917,917,10,916,916,0,911,911,14,903,911,2708,903,906,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-10-28",937,936,526,930,929,4,923,922,83790,917,917,0,912,912,0,907,907,0,904,903,2530,903,905,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-10-29",933,932,624,926,926,2,921,917,105876,917,917,0,908,908,0,903,903,0,903,900,2400,904,903,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-10-30",932,933,716,926,926,0,924,922,118272,919,920,28,910,910,0,905,905,0,903,904,5198,903,903,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-10-31",934,934,584,926,926,0,922,923,74672,926,926,2,915,915,0,910,910,0,902,902,1896,903,903,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
