"DATETIME","DCE.J.2011.09.CLOSE","DCE.J.2011.09.SETTLE","DCE.J.2011.09.VOLUME","DCE.J.2011.10.CLOSE","DCE.J.2011.10.SETTLE","DCE.J.2011.10.VOLUME","DCE.J.2011.11.CLOSE","DCE.J.2011.11.SETTLE","DCE.J.2011.11.VOLUME","DCE.J.2011.12.CLOSE","DCE.J.2011.12.SETTLE","DCE.J.2011.12.VOLUME","DCE.J.2012.01.CLOSE","DCE.J.2012.01.SETTLE","DCE.J.2012.01.VOLUME","DCE.J.2012.02.CLOSE","DCE.J.2012.02.SETTLE","DCE.J.2012.02.VOLUME","DCE.J.2012.03.CLOSE","DCE.J.2012.03.SETTLE","DCE.J.2012.03.VOLUME","DCE.J.2012.04.CLOSE","DCE.J.2012.04.SETTLE","DCE.J.2012.04.VOLUME","DCE.J.2012.05.CLOSE","DCE.J.2012.05.SETTLE","DCE.J.2012.05.VOLUME","DCE.J.2012.06.CLOSE","DCE.J.2012.06.SETTLE","DCE.J.2012.06.VOLUME","DCE.J.2012.07.CLOSE","DCE.J.2012.07.SETTLE","DCE.J.2012.07.VOLUME","DCE.J.2012.08.CLOSE","DCE.J.2012.08.SETTLE","DCE.J.2012.08.VOLUME","DCE.J.2012.09.CLOSE","DCE.J.2012.09.SETTLE","DCE.J.2012.09.VOLUME","DCE.J.2012.10.CLOSE","DCE.J.2012.10.SETTLE","DCE.J.2012.10.VOLUME","DCE.J.2012.11.CLOSE","DCE.J.2012.11.SETTLE","DCE.J.2012.11.VOLUME","DCE.J.2012.12.CLOSE","DCE.J.2012.12.SETTLE","DCE.J.2012.12.VOLUME","DCE.J.2013.01.CLOSE","DCE.J.2013.01.SETTLE","DCE.J.2013.01.VOLUME","DCE.J.2013.02.CLOSE","DCE.J.2013.02.SETTLE","DCE.J.2013.02.VOLUME","DCE.J.2013.03.CLOSE","DCE.J.2013.03.SETTLE","DCE.J.2013.03.VOLUME","DCE.J.2013.04.CLOSE","DCE.J.2013.04.SETTLE","DCE.J.2013.04.VOLUME","DCE.J.2013.05.CLOSE","DCE.J.2013.05.SETTLE","DCE.J.2013.05.VOLUME","DCE.J.2013.06.CLOSE","DCE.J.2013.06.SETTLE","DCE.J.2013.06.VOLUME","DCE.J.2013.07.CLOSE","DCE.J.2013.07.SETTLE","DCE.J.2013.07.VOLUME","DCE.J.2013.08.CLOSE","DCE.J.2013.08.SETTLE","DCE.J.2013.08.VOLUME","DCE.J.2013.09.CLOSE","DCE.J.2013.09.SETTLE","DCE.J.2013.09.VOLUME","DCE.J.2013.10.CLOSE","DCE.J.2013.10.SETTLE","DCE.J.2013.10.VOLUME","DCE.J.2013.11.CLOSE","DCE.J.2013.11.SETTLE","DCE.J.2013.11.VOLUME","DCE.J.2013.12.CLOSE","DCE.J.2013.12.SETTLE","DCE.J.2013.12.VOLUME","DCE.J.2014.01.CLOSE","DCE.J.2014.01.SETTLE","DCE.J.2014.01.VOLUME","DCE.J.2014.02.CLOSE","DCE.J.2014.02.SETTLE","DCE.J.2014.02.VOLUME","DCE.J.2014.03.CLOSE","DCE.J.2014.03.SETTLE","DCE.J.2014.03.VOLUME","DCE.J.2014.04.CLOSE","DCE.J.2014.04.SETTLE","DCE.J.2014.04.VOLUME","DCE.J.2014.05.CLOSE","DCE.J.2014.05.SETTLE","DCE.J.2014.05.VOLUME","DCE.J.2014.06.CLOSE","DCE.J.2014.06.SETTLE","DCE.J.2014.06.VOLUME","DCE.J.2014.07.CLOSE","DCE.J.2014.07.SETTLE","DCE.J.2014.07.VOLUME","DCE.J.2014.08.CLOSE","DCE.J.2014.08.SETTLE","DCE.J.2014.08.VOLUME","DCE.J.2014.09.CLOSE","DCE.J.2014.09.SETTLE","DCE.J.2014.09.VOLUME","DCE.J.2014.10.CLOSE","DCE.J.2014.10.SETTLE","DCE.J.2014.10.VOLUME","DCE.J.2014.11.CLOSE","DCE.J.2014.11.SETTLE","DCE.J.2014.11.VOLUME","DCE.J.2014.12.CLOSE","DCE.J.2014.12.SETTLE","DCE.J.2014.12.VOLUME","DCE.J.2015.01.CLOSE","DCE.J.2015.01.SETTLE","DCE.J.2015.01.VOLUME","DCE.J.2015.02.CLOSE","DCE.J.2015.02.SETTLE","DCE.J.2015.02.VOLUME","DCE.J.2015.03.CLOSE","DCE.J.2015.03.SETTLE","DCE.J.2015.03.VOLUME","DCE.J.2015.04.CLOSE","DCE.J.2015.04.SETTLE","DCE.J.2015.04.VOLUME","DCE.J.2015.05.CLOSE","DCE.J.2015.05.SETTLE","DCE.J.2015.05.VOLUME","DCE.J.2015.06.CLOSE","DCE.J.2015.06.SETTLE","DCE.J.2015.06.VOLUME","DCE.J.2015.07.CLOSE","DCE.J.2015.07.SETTLE","DCE.J.2015.07.VOLUME","DCE.J.2015.08.CLOSE","DCE.J.2015.08.SETTLE","DCE.J.2015.08.VOLUME","DCE.J.2015.09.CLOSE","DCE.J.2015.09.SETTLE","DCE.J.2015.09.VOLUME","DCE.J.2015.10.CLOSE","DCE.J.2015.10.SETTLE","DCE.J.2015.10.VOLUME","DCE.J.2015.11.CLOSE","DCE.J.2015.11.SETTLE","DCE.J.2015.11.VOLUME","DCE.J.2015.12.CLOSE","DCE.J.2015.12.SETTLE","DCE.J.2015.12.VOLUME","DCE.J.2016.01.CLOSE","DCE.J.2016.01.SETTLE","DCE.J.2016.01.VOLUME","DCE.J.2016.02.CLOSE","DCE.J.2016.02.SETTLE","DCE.J.2016.02.VOLUME","DCE.J.2016.03.CLOSE","DCE.J.2016.03.SETTLE","DCE.J.2016.03.VOLUME","DCE.J.2016.04.CLOSE","DCE.J.2016.04.SETTLE","DCE.J.2016.04.VOLUME","DCE.J.2016.05.CLOSE","DCE.J.2016.05.SETTLE","DCE.J.2016.05.VOLUME","DCE.J.2016.06.CLOSE","DCE.J.2016.06.SETTLE","DCE.J.2016.06.VOLUME","DCE.J.2016.07.CLOSE","DCE.J.2016.07.SETTLE","DCE.J.2016.07.VOLUME","DCE.J.2016.08.CLOSE","DCE.J.2016.08.SETTLE","DCE.J.2016.08.VOLUME","DCE.J.2016.09.CLOSE","DCE.J.2016.09.SETTLE","DCE.J.2016.09.VOLUME","DCE.J.2016.10.CLOSE","DCE.J.2016.10.SETTLE","DCE.J.2016.10.VOLUME","DCE.J.2016.11.CLOSE","DCE.J.2016.11.SETTLE","DCE.J.2016.11.VOLUME","DCE.J.2016.12.CLOSE","DCE.J.2016.12.SETTLE","DCE.J.2016.12.VOLUME","DCE.J.2017.01.CLOSE","DCE.J.2017.01.SETTLE","DCE.J.2017.01.VOLUME"
"2011-04-15",2247,2255,57134,2275,2279,198,2276,2298,100,2309,2305,10,2316,2315,526,2220,2220,0,2337,2310,100,2303,2345,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011-04-18",2381,2344,132702,2392,2341,56,2420,2369,8,2430,2399,8,2453,2429,786,2220,2220,0,2448,2407,74,2469,2469,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011-04-19",2336,2344,204462,2342,2358,188,2412,2389,6,2402,2390,8,2422,2426,502,2397,2397,2,2416,2427,88,2450,2435,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011-04-20",2343,2352,175506,2348,2364,108,2381,2396,12,2390,2390,0,2430,2442,398,2397,2397,0,2433,2442,8,2435,2435,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011-04-21",2335,2346,97576,2342,2340,114,2382,2382,4,2393,2393,2,2422,2432,104,2397,2397,0,2417,2421,6,2435,2435,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011-04-22",2330,2319,128218,2324,2321,196,2353,2349,4,2393,2393,0,2416,2409,104,2370,2370,2,2415,2423,24,2435,2435,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011-04-25",2329,2334,64954,2331,2327,58,2349,2349,0,2393,2393,0,2416,2424,86,2370,2370,0,2406,2415,4,2435,2435,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011-04-26",2322,2316,44336,2316,2308,138,2347,2344,10,2393,2393,0,2413,2410,108,2407,2407,2,2392,2390,42,2435,2435,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011-04-27",2320,2327,32038,2317,2322,12,2381,2375,4,2393,2393,0,2413,2416,34,2407,2407,0,2405,2405,2,2435,2435,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011-04-28",2337,2335,26286,2331,2331,26,2375,2375,0,2393,2393,0,2420,2429,30,2407,2407,0,2414,2414,2,2435,2435,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
