"DATETIME","DCE.JM.2013.07.CLOSE","DCE.JM.2013.07.SETTLE","DCE.JM.2013.07.VOLUME","DCE.JM.2013.08.CLOSE","DCE.JM.2013.08.SETTLE","DCE.JM.2013.08.VOLUME","DCE.JM.2013.09.CLOSE","DCE.JM.2013.09.SETTLE","DCE.JM.2013.09.VOLUME","DCE.JM.2013.10.CLOSE","DCE.JM.2013.10.SETTLE","DCE.JM.2013.10.VOLUME","DCE.JM.2013.11.CLOSE","DCE.JM.2013.11.SETTLE","DCE.JM.2013.11.VOLUME","DCE.JM.2013.12.CLOSE","DCE.JM.2013.12.SETTLE","DCE.JM.2013.12.VOLUME","DCE.JM.2014.01.CLOSE","DCE.JM.2014.01.SETTLE","DCE.JM.2014.01.VOLUME","DCE.JM.2014.02.CLOSE","DCE.JM.2014.02.SETTLE","DCE.JM.2014.02.VOLUME","DCE.JM.2014.03.CLOSE","DCE.JM.2014.03.SETTLE","DCE.JM.2014.03.VOLUME","DCE.JM.2014.04.CLOSE","DCE.JM.2014.04.SETTLE","DCE.JM.2014.04.VOLUME","DCE.JM.2014.05.CLOSE","DCE.JM.2014.05.SETTLE","DCE.JM.2014.05.VOLUME","DCE.JM.2014.06.CLOSE","DCE.JM.2014.06.SETTLE","DCE.JM.2014.06.VOLUME","DCE.JM.2014.07.CLOSE","DCE.JM.2014.07.SETTLE","DCE.JM.2014.07.VOLUME","DCE.JM.2014.08.CLOSE","DCE.JM.2014.08.SETTLE","DCE.JM.2014.08.VOLUME","DCE.JM.2014.09.CLOSE","DCE.JM.2014.09.SETTLE","DCE.JM.2014.09.VOLUME","DCE.JM.2014.10.CLOSE","DCE.JM.2014.10.SETTLE","DCE.JM.2014.10.VOLUME","DCE.JM.2014.11.CLOSE","DCE.JM.2014.11.SETTLE","DCE.JM.2014.11.VOLUME","DCE.JM.2014.12.CLOSE","DCE.JM.2014.12.SETTLE","DCE.JM.2014.12.VOLUME","DCE.JM.2015.01.CLOSE","DCE.JM.2015.01.SETTLE","DCE.JM.2015.01.VOLUME","DCE.JM.2015.02.CLOSE","DCE.JM.2015.02.SETTLE","DCE.JM.2015.02.VOLUME","DCE.JM.2015.03.CLOSE","DCE.JM.2015.03.SETTLE","DCE.JM.2015.03.VOLUME","DCE.JM.2015.04.CLOSE","DCE.JM.2015.04.SETTLE","DCE.JM.2015.04.VOLUME","DCE.JM.2015.05.CLOSE","DCE.JM.2015.05.SETTLE","DCE.JM.2015.05.VOLUME","DCE.JM.2015.06.CLOSE","DCE.JM.2015.06.SETTLE","DCE.JM.2015.06.VOLUME","DCE.JM.2015.07.CLOSE","DCE.JM.2015.07.SETTLE","DCE.JM.2015.07.VOLUME","DCE.JM.2015.08.CLOSE","DCE.JM.2015.08.SETTLE","DCE.JM.2015.08.VOLUME","DCE.JM.2015.09.CLOSE","DCE.JM.2015.09.SETTLE","DCE.JM.2015.09.VOLUME","DCE.JM.2015.10.CLOSE","DCE.JM.2015.10.SETTLE","DCE.JM.2015.10.VOLUME","DCE.JM.2015.11.CLOSE","DCE.JM.2015.11.SETTLE","DCE.JM.2015.11.VOLUME","DCE.JM.2015.12.CLOSE","DCE.JM.2015.12.SETTLE","DCE.JM.2015.12.VOLUME","DCE.JM.2016.01.CLOSE","DCE.JM.2016.01.SETTLE","DCE.JM.2016.01.VOLUME","DCE.JM.2016.02.CLOSE","DCE.JM.2016.02.SETTLE","DCE.JM.2016.02.VOLUME","DCE.JM.2016.03.CLOSE","DCE.JM.2016.03.SETTLE","DCE.JM.2016.03.VOLUME","DCE.JM.2016.04.CLOSE","DCE.JM.2016.04.SETTLE","DCE.JM.2016.04.VOLUME","DCE.JM.2016.05.CLOSE","DCE.JM.2016.05.SETTLE","DCE.JM.2016.05.VOLUME","DCE.JM.2016.06.CLOSE","DCE.JM.2016.06.SETTLE","DCE.JM.2016.06.VOLUME","DCE.JM.2016.07.CLOSE","DCE.JM.2016.07.SETTLE","DCE.JM.2016.07.VOLUME","DCE.JM.2016.08.CLOSE","DCE.JM.2016.08.SETTLE","DCE.JM.2016.08.VOLUME","DCE.JM.2016.09.CLOSE","DCE.JM.2016.09.SETTLE","DCE.JM.2016.09.VOLUME","DCE.JM.2016.10.CLOSE","DCE.JM.2016.10.SETTLE","DCE.JM.2016.10.VOLUME","DCE.JM.2016.11.CLOSE","DCE.JM.2016.11.SETTLE","DCE.JM.2016.11.VOLUME","DCE.JM.2016.12.CLOSE","DCE.JM.2016.12.SETTLE","DCE.JM.2016.12.VOLUME","DCE.JM.2017.01.CLOSE","DCE.JM.2017.01.SETTLE","DCE.JM.2017.01.VOLUME"
"2013-03-22",1237,1254,828,1266,1283,42,1267,1276,845512,1301,1293,292,1311,1339,56,1323,1337,72,1320,1323,2042,1350,1357,30,1342,1372,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-03-25",1231,1238,120,1251,1253,24,1258,1266,722022,1277,1287,98,1309,1314,6,1304,1327,26,1305,1307,3074,1357,1357,0,1329,1339,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-03-26",1239,1236,138,1259,1255,16,1272,1265,835326,1279,1279,6,1313,1314,26,1314,1320,4,1316,1312,1300,1357,1357,0,1334,1335,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-03-27",1230,1232,28,1252,1256,6,1261,1266,499234,1289,1288,12,1314,1314,0,1320,1320,0,1310,1312,446,1357,1357,0,1320,1341,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-03-28",1234,1232,142,1249,1255,62,1259,1263,646266,1271,1285,22,1302,1303,6,1317,1317,4,1312,1314,1118,1357,1357,0,1328,1326,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-03-29",1228,1229,60,1235,1237,8,1240,1252,734728,1268,1281,16,1286,1282,6,1317,1317,0,1305,1317,5302,1357,1357,0,1318,1330,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-04-01",1191,1205,308,1203,1219,62,1202,1215,710132,1238,1247,4,1240,1240,2,1265,1267,6,1265,1283,2342,1304,1304,2,1277,1294,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-04-02",1215,1203,184,1210,1192,364,1228,1209,1049448,1250,1241,8,1251,1248,6,1267,1267,0,1281,1265,1104,1304,1304,0,1302,1283,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-04-03",1210,1211,30,1195,1200,106,1216,1221,606564,1248,1246,12,1248,1248,0,1277,1277,2,1270,1273,1016,1272,1283,10,1293,1299,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-04-08",1206,1199,24,1194,1189,88,1220,1211,555970,1227,1230,6,1242,1220,222,1277,1277,0,1275,1262,560,1281,1271,12,1292,1286,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
