"DATETIME","DCE.Y.2006.03.CLOSE","DCE.Y.2006.03.SETTLE","DCE.Y.2006.03.VOLUME","DCE.Y.2006.05.CLOSE","DCE.Y.2006.05.SETTLE","DCE.Y.2006.05.VOLUME","DCE.Y.2006.07.CLOSE","DCE.Y.2006.07.SETTLE","DCE.Y.2006.07.VOLUME","DCE.Y.2006.08.CLOSE","DCE.Y.2006.08.SETTLE","DCE.Y.2006.08.VOLUME","DCE.Y.2006.09.CLOSE","DCE.Y.2006.09.SETTLE","DCE.Y.2006.09.VOLUME","DCE.Y.2006.11.CLOSE","DCE.Y.2006.11.SETTLE","DCE.Y.2006.11.VOLUME","DCE.Y.2006.12.CLOSE","DCE.Y.2006.12.SETTLE","DCE.Y.2006.12.VOLUME","DCE.Y.2007.01.CLOSE","DCE.Y.2007.01.SETTLE","DCE.Y.2007.01.VOLUME","DCE.Y.2007.03.CLOSE","DCE.Y.2007.03.SETTLE","DCE.Y.2007.03.VOLUME","DCE.Y.2007.05.CLOSE","DCE.Y.2007.05.SETTLE","DCE.Y.2007.05.VOLUME","DCE.Y.2007.07.CLOSE","DCE.Y.2007.07.SETTLE","DCE.Y.2007.07.VOLUME","DCE.Y.2007.08.CLOSE","DCE.Y.2007.08.SETTLE","DCE.Y.2007.08.VOLUME","DCE.Y.2007.09.CLOSE","DCE.Y.2007.09.SETTLE","DCE.Y.2007.09.VOLUME","DCE.Y.2007.11.CLOSE","DCE.Y.2007.11.SETTLE","DCE.Y.2007.11.VOLUME","DCE.Y.2007.12.CLOSE","DCE.Y.2007.12.SETTLE","DCE.Y.2007.12.VOLUME","DCE.Y.2008.01.CLOSE","DCE.Y.2008.01.SETTLE","DCE.Y.2008.01.VOLUME","DCE.Y.2008.03.CLOSE","DCE.Y.2008.03.SETTLE","DCE.Y.2008.03.VOLUME","DCE.Y.2008.05.CLOSE","DCE.Y.2008.05.SETTLE","DCE.Y.2008.05.VOLUME","DCE.Y.2008.07.CLOSE","DCE.Y.2008.07.SETTLE","DCE.Y.2008.07.VOLUME","DCE.Y.2008.08.CLOSE","DCE.Y.2008.08.SETTLE","DCE.Y.2008.08.VOLUME","DCE.Y.2008.09.CLOSE","DCE.Y.2008.09.SETTLE","DCE.Y.2008.09.VOLUME","DCE.Y.2008.11.CLOSE","DCE.Y.2008.11.SETTLE","DCE.Y.2008.11.VOLUME","DCE.Y.2008.12.CLOSE","DCE.Y.2008.12.SETTLE","DCE.Y.2008.12.VOLUME","DCE.Y.2009.01.CLOSE","DCE.Y.2009.01.SETTLE","DCE.Y.2009.01.VOLUME","DCE.Y.2009.03.CLOSE","DCE.Y.2009.03.SETTLE","DCE.Y.2009.03.VOLUME","DCE.Y.2009.05.CLOSE","DCE.Y.2009.05.SETTLE","DCE.Y.2009.05.VOLUME","DCE.Y.2009.07.CLOSE","DCE.Y.2009.07.SETTLE","DCE.Y.2009.07.VOLUME","DCE.Y.2009.08.CLOSE","DCE.Y.2009.08.SETTLE","DCE.Y.2009.08.VOLUME","DCE.Y.2009.09.CLOSE","DCE.Y.2009.09.SETTLE","DCE.Y.2009.09.VOLUME","DCE.Y.2009.11.CLOSE","DCE.Y.2009.11.SETTLE","DCE.Y.2009.11.VOLUME","DCE.Y.2009.12.CLOSE","DCE.Y.2009.12.SETTLE","DCE.Y.2009.12.VOLUME","DCE.Y.2010.01.CLOSE","DCE.Y.2010.01.SETTLE","DCE.Y.2010.01.VOLUME","DCE.Y.2010.03.CLOSE","DCE.Y.2010.03.SETTLE","DCE.Y.2010.03.VOLUME","DCE.Y.2010.05.CLOSE","DCE.Y.2010.05.SETTLE","DCE.Y.2010.05.VOLUME","DCE.Y.2010.07.CLOSE","DCE.Y.2010.07.SETTLE","DCE.Y.2010.07.VOLUME","DCE.Y.2010.08.CLOSE","DCE.Y.2010.08.SETTLE","DCE.Y.2010.08.VOLUME","DCE.Y.2010.09.CLOSE","DCE.Y.2010.09.SETTLE","DCE.Y.2010.09.VOLUME","DCE.Y.2010.11.CLOSE","DCE.Y.2010.11.SETTLE","DCE.Y.2010.11.VOLUME","DCE.Y.2010.12.CLOSE","DCE.Y.2010.12.SETTLE","DCE.Y.2010.12.VOLUME","DCE.Y.2011.01.CLOSE","DCE.Y.2011.01.SETTLE","DCE.Y.2011.01.VOLUME","DCE.Y.2011.03.CLOSE","DCE.Y.2011.03.SETTLE","DCE.Y.2011.03.VOLUME","DCE.Y.2011.05.CLOSE","DCE.Y.2011.05.SETTLE","DCE.Y.2011.05.VOLUME","DCE.Y.2011.07.CLOSE","DCE.Y.2011.07.SETTLE","DCE.Y.2011.07.VOLUME","DCE.Y.2011.08.CLOSE","DCE.Y.2011.08.SETTLE","DCE.Y.2011.08.VOLUME","DCE.Y.2011.09.CLOSE","DCE.Y.2011.09.SETTLE","DCE.Y.2011.09.VOLUME","DCE.Y.2011.11.CLOSE","DCE.Y.2011.11.SETTLE","DCE.Y.2011.11.VOLUME","DCE.Y.2011.12.CLOSE","DCE.Y.2011.12.SETTLE","DCE.Y.2011.12.VOLUME","DCE.Y.2012.01.CLOSE","DCE.Y.2012.01.SETTLE","DCE.Y.2012.01.VOLUME","DCE.Y.2012.03.CLOSE","DCE.Y.2012.03.SETTLE","DCE.Y.2012.03.VOLUME","DCE.Y.2012.05.CLOSE","DCE.Y.2012.05.SETTLE","DCE.Y.2012.05.VOLUME","DCE.Y.2012.07.CLOSE","DCE.Y.2012.07.SETTLE","DCE.Y.2012.07.VOLUME","DCE.Y.2012.08.CLOSE","DCE.Y.2012.08.SETTLE","DCE.Y.2012.08.VOLUME","DCE.Y.2012.09.CLOSE","DCE.Y.2012.09.SETTLE","DCE.Y.2012.09.VOLUME","DCE.Y.2012.11.CLOSE","DCE.Y.2012.11.SETTLE","DCE.Y.2012.11.VOLUME","DCE.Y.2012.12.CLOSE","DCE.Y.2012.12.SETTLE","DCE.Y.2012.12.VOLUME","DCE.Y.2013.01.CLOSE","DCE.Y.2013.01.SETTLE","DCE.Y.2013.01.VOLUME","DCE.Y.2013.03.CLOSE","DCE.Y.2013.03.SETTLE","DCE.Y.2013.03.VOLUME","DCE.Y.2013.05.CLOSE","DCE.Y.2013.05.SETTLE","DCE.Y.2013.05.VOLUME","DCE.Y.2013.07.CLOSE","DCE.Y.2013.07.SETTLE","DCE.Y.2013.07.VOLUME","DCE.Y.2013.08.CLOSE","DCE.Y.2013.08.SETTLE","DCE.Y.2013.08.VOLUME","DCE.Y.2013.09.CLOSE","DCE.Y.2013.09.SETTLE","DCE.Y.2013.09.VOLUME","DCE.Y.2013.11.CLOSE","DCE.Y.2013.11.SETTLE","DCE.Y.2013.11.VOLUME","DCE.Y.2013.12.CLOSE","DCE.Y.2013.12.SETTLE","DCE.Y.2013.12.VOLUME","DCE.Y.2014.01.CLOSE","DCE.Y.2014.01.SETTLE","DCE.Y.2014.01.VOLUME","DCE.Y.2014.03.CLOSE","DCE.Y.2014.03.SETTLE","DCE.Y.2014.03.VOLUME","DCE.Y.2014.05.CLOSE","DCE.Y.2014.05.SETTLE","DCE.Y.2014.05.VOLUME","DCE.Y.2014.07.CLOSE","DCE.Y.2014.07.SETTLE","DCE.Y.2014.07.VOLUME","DCE.Y.2014.08.CLOSE","DCE.Y.2014.08.SETTLE","DCE.Y.2014.08.VOLUME","DCE.Y.2014.09.CLOSE","DCE.Y.2014.09.SETTLE","DCE.Y.2014.09.VOLUME","DCE.Y.2014.11.CLOSE","DCE.Y.2014.11.SETTLE","DCE.Y.2014.11.VOLUME","DCE.Y.2014.12.CLOSE","DCE.Y.2014.12.SETTLE","DCE.Y.2014.12.VOLUME","DCE.Y.2015.01.CLOSE","DCE.Y.2015.01.SETTLE","DCE.Y.2015.01.VOLUME","DCE.Y.2015.03.CLOSE","DCE.Y.2015.03.SETTLE","DCE.Y.2015.03.VOLUME","DCE.Y.2015.05.CLOSE","DCE.Y.2015.05.SETTLE","DCE.Y.2015.05.VOLUME","DCE.Y.2015.07.CLOSE","DCE.Y.2015.07.SETTLE","DCE.Y.2015.07.VOLUME","DCE.Y.2015.08.CLOSE","DCE.Y.2015.08.SETTLE","DCE.Y.2015.08.VOLUME","DCE.Y.2015.09.CLOSE","DCE.Y.2015.09.SETTLE","DCE.Y.2015.09.VOLUME","DCE.Y.2015.11.CLOSE","DCE.Y.2015.11.SETTLE","DCE.Y.2015.11.VOLUME","DCE.Y.2015.12.CLOSE","DCE.Y.2015.12.SETTLE","DCE.Y.2015.12.VOLUME","DCE.Y.2016.01.CLOSE","DCE.Y.2016.01.SETTLE","DCE.Y.2016.01.VOLUME","DCE.Y.2016.03.CLOSE","DCE.Y.2016.03.SETTLE","DCE.Y.2016.03.VOLUME","DCE.Y.2016.05.CLOSE","DCE.Y.2016.05.SETTLE","DCE.Y.2016.05.VOLUME","DCE.Y.2016.07.CLOSE","DCE.Y.2016.07.SETTLE","DCE.Y.2016.07.VOLUME","DCE.Y.2016.08.CLOSE","DCE.Y.2016.08.SETTLE","DCE.Y.2016.08.VOLUME","DCE.Y.2016.09.CLOSE","DCE.Y.2016.09.SETTLE","DCE.Y.2016.09.VOLUME","DCE.Y.2016.11.CLOSE","DCE.Y.2016.11.SETTLE","DCE.Y.2016.11.VOLUME","DCE.Y.2016.12.CLOSE","DCE.Y.2016.12.SETTLE","DCE.Y.2016.12.VOLUME","DCE.Y.2017.01.CLOSE","DCE.Y.2017.01.SETTLE","DCE.Y.2017.01.VOLUME"
"2006-01-09",5062,5048,106,5004,5053,10652,5036,5137,15318,5072,5136,6884,5096,5164,105678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006-01-10",5090,5155,4,4996,4979,1054,5060,5007,5268,5042,5037,12926,5086,5083,63540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006-01-11",5155,5155,0,4958,4963,378,5008,5019,11946,5042,5039,20944,5080,5072,37518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006-01-12",4956,4955,4,4926,4928,272,4946,4965,11380,5014,5022,24698,5086,5081,43268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006-01-13",4880,4939,32,4894,4892,178,4916,4920,6442,4964,4963,16540,5036,5044,43668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006-01-16",4900,4874,8,4926,4906,560,4946,4928,6944,4994,4975,19418,5058,5051,51524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006-01-17",4874,4874,0,4918,4923,296,4924,4940,9736,4978,4978,11086,5030,5055,45684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006-01-18",5000,4905,34,4924,4932,850,4906,4918,4310,4944,4964,14124,5028,5036,60752,5018,5060,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006-01-19",4905,4905,0,4972,4964,916,4972,4955,6828,5022,5000,19226,5092,5069,66908,5166,5085,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006-01-20",4968,4984,10,5006,5022,498,4978,4985,5664,5038,5044,12758,5098,5108,76374,5178,5144,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
