"DATETIME","SHFE.AG.2012.09.CLOSE","SHFE.AG.2012.09.SETTLE","SHFE.AG.2012.09.VOLUME","SHFE.AG.2012.10.CLOSE","SHFE.AG.2012.10.SETTLE","SHFE.AG.2012.10.VOLUME","SHFE.AG.2012.11.CLOSE","SHFE.AG.2012.11.SETTLE","SHFE.AG.2012.11.VOLUME","SHFE.AG.2012.12.CLOSE","SHFE.AG.2012.12.SETTLE","SHFE.AG.2012.12.VOLUME","SHFE.AG.2013.01.CLOSE","SHFE.AG.2013.01.SETTLE","SHFE.AG.2013.01.VOLUME","SHFE.AG.2013.02.CLOSE","SHFE.AG.2013.02.SETTLE","SHFE.AG.2013.02.VOLUME","SHFE.AG.2013.03.CLOSE","SHFE.AG.2013.03.SETTLE","SHFE.AG.2013.03.VOLUME","SHFE.AG.2013.04.CLOSE","SHFE.AG.2013.04.SETTLE","SHFE.AG.2013.04.VOLUME","SHFE.AG.2013.05.CLOSE","SHFE.AG.2013.05.SETTLE","SHFE.AG.2013.05.VOLUME","SHFE.AG.2013.06.CLOSE","SHFE.AG.2013.06.SETTLE","SHFE.AG.2013.06.VOLUME","SHFE.AG.2013.07.CLOSE","SHFE.AG.2013.07.SETTLE","SHFE.AG.2013.07.VOLUME","SHFE.AG.2013.08.CLOSE","SHFE.AG.2013.08.SETTLE","SHFE.AG.2013.08.VOLUME","SHFE.AG.2013.09.CLOSE","SHFE.AG.2013.09.SETTLE","SHFE.AG.2013.09.VOLUME","SHFE.AG.2013.10.CLOSE","SHFE.AG.2013.10.SETTLE","SHFE.AG.2013.10.VOLUME","SHFE.AG.2013.11.CLOSE","SHFE.AG.2013.11.SETTLE","SHFE.AG.2013.11.VOLUME","SHFE.AG.2013.12.CLOSE","SHFE.AG.2013.12.SETTLE","SHFE.AG.2013.12.VOLUME","SHFE.AG.2014.01.CLOSE","SHFE.AG.2014.01.SETTLE","SHFE.AG.2014.01.VOLUME","SHFE.AG.2014.02.CLOSE","SHFE.AG.2014.02.SETTLE","SHFE.AG.2014.02.VOLUME","SHFE.AG.2014.03.CLOSE","SHFE.AG.2014.03.SETTLE","SHFE.AG.2014.03.VOLUME","SHFE.AG.2014.04.CLOSE","SHFE.AG.2014.04.SETTLE","SHFE.AG.2014.04.VOLUME","SHFE.AG.2014.05.CLOSE","SHFE.AG.2014.05.SETTLE","SHFE.AG.2014.05.VOLUME","SHFE.AG.2014.06.CLOSE","SHFE.AG.2014.06.SETTLE","SHFE.AG.2014.06.VOLUME","SHFE.AG.2014.07.CLOSE","SHFE.AG.2014.07.SETTLE","SHFE.AG.2014.07.VOLUME","SHFE.AG.2014.08.CLOSE","SHFE.AG.2014.08.SETTLE","SHFE.AG.2014.08.VOLUME","SHFE.AG.2014.09.CLOSE","SHFE.AG.2014.09.SETTLE","SHFE.AG.2014.09.VOLUME","SHFE.AG.2014.10.CLOSE","SHFE.AG.2014.10.SETTLE","SHFE.AG.2014.10.VOLUME","SHFE.AG.2014.11.CLOSE","SHFE.AG.2014.11.SETTLE","SHFE.AG.2014.11.VOLUME","SHFE.AG.2014.12.CLOSE","SHFE.AG.2014.12.SETTLE","SHFE.AG.2014.12.VOLUME","SHFE.AG.2015.01.CLOSE","SHFE.AG.2015.01.SETTLE","SHFE.AG.2015.01.VOLUME","SHFE.AG.2015.02.CLOSE","SHFE.AG.2015.02.SETTLE","SHFE.AG.2015.02.VOLUME","SHFE.AG.2015.03.CLOSE","SHFE.AG.2015.03.SETTLE","SHFE.AG.2015.03.VOLUME","SHFE.AG.2015.04.CLOSE","SHFE.AG.2015.04.SETTLE","SHFE.AG.2015.04.VOLUME","SHFE.AG.2015.05.CLOSE","SHFE.AG.2015.05.SETTLE","SHFE.AG.2015.05.VOLUME","SHFE.AG.2015.06.CLOSE","SHFE.AG.2015.06.SETTLE","SHFE.AG.2015.06.VOLUME","SHFE.AG.2015.07.CLOSE","SHFE.AG.2015.07.SETTLE","SHFE.AG.2015.07.VOLUME","SHFE.AG.2015.08.CLOSE","SHFE.AG.2015.08.SETTLE","SHFE.AG.2015.08.VOLUME","SHFE.AG.2015.09.CLOSE","SHFE.AG.2015.09.SETTLE","SHFE.AG.2015.09.VOLUME","SHFE.AG.2015.10.CLOSE","SHFE.AG.2015.10.SETTLE","SHFE.AG.2015.10.VOLUME","SHFE.AG.2015.11.CLOSE","SHFE.AG.2015.11.SETTLE","SHFE.AG.2015.11.VOLUME","SHFE.AG.2015.12.CLOSE","SHFE.AG.2015.12.SETTLE","SHFE.AG.2015.12.VOLUME","SHFE.AG.2016.01.CLOSE","SHFE.AG.2016.01.SETTLE","SHFE.AG.2016.01.VOLUME","SHFE.AG.2016.02.CLOSE","SHFE.AG.2016.02.SETTLE","SHFE.AG.2016.02.VOLUME","SHFE.AG.2016.03.CLOSE","SHFE.AG.2016.03.SETTLE","SHFE.AG.2016.03.VOLUME","SHFE.AG.2016.04.CLOSE","SHFE.AG.2016.04.SETTLE","SHFE.AG.2016.04.VOLUME","SHFE.AG.2016.05.CLOSE","SHFE.AG.2016.05.SETTLE","SHFE.AG.2016.05.VOLUME","SHFE.AG.2016.06.CLOSE","SHFE.AG.2016.06.SETTLE","SHFE.AG.2016.06.VOLUME","SHFE.AG.2016.07.CLOSE","SHFE.AG.2016.07.SETTLE","SHFE.AG.2016.07.VOLUME","SHFE.AG.2016.08.CLOSE","SHFE.AG.2016.08.SETTLE","SHFE.AG.2016.08.VOLUME","SHFE.AG.2016.09.CLOSE","SHFE.AG.2016.09.SETTLE","SHFE.AG.2016.09.VOLUME","SHFE.AG.2016.10.CLOSE","SHFE.AG.2016.10.SETTLE","SHFE.AG.2016.10.VOLUME","SHFE.AG.2016.11.CLOSE","SHFE.AG.2016.11.SETTLE","SHFE.AG.2016.11.VOLUME","SHFE.AG.2016.12.CLOSE","SHFE.AG.2016.12.SETTLE","SHFE.AG.2016.12.VOLUME","SHFE.AG.2017.01.CLOSE","SHFE.AG.2017.01.SETTLE","SHFE.AG.2017.01.VOLUME"
"2012-05-10",6140,6126,259996,6160,6164,598,6179,6164,174,6168,6152,87484,6177,6162,394,6185,6144,462,6151,6158,48,6156,6154,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012-05-11",6002,6056,206804,6040,6074,364,6051,6091,56,6034,6085,46950,6050,6100,126,6073,6112,80,6086,6100,82,6114,6114,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012-05-14",5976,5999,207668,5991,6022,314,6002,6017,28,5994,6026,36858,6021,6045,48,6053,6079,8,6066,6077,8,6077,6053,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012-05-15",5842,5813,445150,5832,5852,58,5839,5830,12,5861,5841,64200,5900,5844,364,5846,5871,18,5802,5853,64,5919,5835,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012-05-16",5647,5704,599202,5664,5730,76,5665,5722,36,5661,5719,81578,5715,5736,212,5698,5739,8,5750,5760,16,5745,5771,12,5726,5726,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012-05-17",5763,5748,558288,5763,5760,70,5793,5762,36,5794,5771,78580,5820,5800,130,5845,5786,18,5853,5854,46,5819,5853,52,5852,5834,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012-05-18",5863,5827,695576,5870,5832,86,5877,5872,26,5896,5858,109458,5924,5894,340,5935,5935,2,5921,5940,18,5970,5937,138,5921,5907,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012-05-21",5940,5932,405766,5925,5943,92,5946,5961,34,5961,5956,66012,5962,5986,656,5982,5980,4,5999,6008,8,6019,6031,42,5990,5975,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012-05-22",5890,5903,371088,5899,5920,162,5916,5923,74,5919,5926,42728,5925,5936,344,5959,5949,4,5966,5971,8,5982,5991,20,5976,5978,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012-05-23",5791,5791,300170,5811,5801,60,5788,5798,4,5811,5814,40006,5830,5829,168,5949,5949,4,5843,5843,2,5853,5884,30,5875,5884,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
