"DATETIME","SHFE.HC.2014.07.CLOSE","SHFE.HC.2014.07.SETTLE","SHFE.HC.2014.07.VOLUME","SHFE.HC.2014.08.CLOSE","SHFE.HC.2014.08.SETTLE","SHFE.HC.2014.08.VOLUME","SHFE.HC.2014.09.CLOSE","SHFE.HC.2014.09.SETTLE","SHFE.HC.2014.09.VOLUME","SHFE.HC.2014.10.CLOSE","SHFE.HC.2014.10.SETTLE","SHFE.HC.2014.10.VOLUME","SHFE.HC.2014.11.CLOSE","SHFE.HC.2014.11.SETTLE","SHFE.HC.2014.11.VOLUME","SHFE.HC.2014.12.CLOSE","SHFE.HC.2014.12.SETTLE","SHFE.HC.2014.12.VOLUME","SHFE.HC.2015.01.CLOSE","SHFE.HC.2015.01.SETTLE","SHFE.HC.2015.01.VOLUME","SHFE.HC.2015.02.CLOSE","SHFE.HC.2015.02.SETTLE","SHFE.HC.2015.02.VOLUME","SHFE.HC.2015.03.CLOSE","SHFE.HC.2015.03.SETTLE","SHFE.HC.2015.03.VOLUME","SHFE.HC.2015.04.CLOSE","SHFE.HC.2015.04.SETTLE","SHFE.HC.2015.04.VOLUME","SHFE.HC.2015.05.CLOSE","SHFE.HC.2015.05.SETTLE","SHFE.HC.2015.05.VOLUME","SHFE.HC.2015.06.CLOSE","SHFE.HC.2015.06.SETTLE","SHFE.HC.2015.06.VOLUME","SHFE.HC.2015.07.CLOSE","SHFE.HC.2015.07.SETTLE","SHFE.HC.2015.07.VOLUME","SHFE.HC.2015.08.CLOSE","SHFE.HC.2015.08.SETTLE","SHFE.HC.2015.08.VOLUME","SHFE.HC.2015.09.CLOSE","SHFE.HC.2015.09.SETTLE","SHFE.HC.2015.09.VOLUME","SHFE.HC.2015.10.CLOSE","SHFE.HC.2015.10.SETTLE","SHFE.HC.2015.10.VOLUME","SHFE.HC.2015.11.CLOSE","SHFE.HC.2015.11.SETTLE","SHFE.HC.2015.11.VOLUME","SHFE.HC.2015.12.CLOSE","SHFE.HC.2015.12.SETTLE","SHFE.HC.2015.12.VOLUME","SHFE.HC.2016.01.CLOSE","SHFE.HC.2016.01.SETTLE","SHFE.HC.2016.01.VOLUME","SHFE.HC.2016.02.CLOSE","SHFE.HC.2016.02.SETTLE","SHFE.HC.2016.02.VOLUME","SHFE.HC.2016.03.CLOSE","SHFE.HC.2016.03.SETTLE","SHFE.HC.2016.03.VOLUME","SHFE.HC.2016.04.CLOSE","SHFE.HC.2016.04.SETTLE","SHFE.HC.2016.04.VOLUME","SHFE.HC.2016.05.CLOSE","SHFE.HC.2016.05.SETTLE","SHFE.HC.2016.05.VOLUME","SHFE.HC.2016.06.CLOSE","SHFE.HC.2016.06.SETTLE","SHFE.HC.2016.06.VOLUME","SHFE.HC.2016.07.CLOSE","SHFE.HC.2016.07.SETTLE","SHFE.HC.2016.07.VOLUME","SHFE.HC.2016.08.CLOSE","SHFE.HC.2016.08.SETTLE","SHFE.HC.2016.08.VOLUME","SHFE.HC.2016.09.CLOSE","SHFE.HC.2016.09.SETTLE","SHFE.HC.2016.09.VOLUME","SHFE.HC.2016.10.CLOSE","SHFE.HC.2016.10.SETTLE","SHFE.HC.2016.10.VOLUME","SHFE.HC.2016.11.CLOSE","SHFE.HC.2016.11.SETTLE","SHFE.HC.2016.11.VOLUME","SHFE.HC.2016.12.CLOSE","SHFE.HC.2016.12.SETTLE","SHFE.HC.2016.12.VOLUME","SHFE.HC.2017.01.CLOSE","SHFE.HC.2017.01.SETTLE","SHFE.HC.2017.01.VOLUME"
"2014-03-21",3300,3270,1490,3310,3294,1174,3322,3284,13604,3324,3300,187478,3272,3282,86,3316,3316,0,3350,3340,5490,3316,3316,0,3332,3368,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-03-24",3308,3294,170,3300,3300,2,3316,3298,2148,3330,3304,86810,3298,3298,0,3316,3316,0,3348,3332,416,3318,3318,0,3368,3368,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-03-25",3368,3330,96,3358,3358,0,3378,3348,1592,3378,3358,119854,3352,3352,0,3354,3354,0,3414,3386,494,3358,3358,0,3350,3350,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-03-26",3352,3350,34,3356,3356,2,3364,3364,306,3376,3368,37876,3352,3352,0,3354,3354,0,3402,3402,80,3384,3384,0,3382,3382,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-03-27",3366,3352,32,3356,3356,0,3362,3362,268,3362,3364,40230,3352,3352,0,3354,3354,0,3400,3396,574,3384,3384,0,3382,3382,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-03-28",3356,3356,0,3364,3364,0,3380,3372,140,3382,3372,34290,3352,3352,0,3354,3354,0,3422,3406,144,3400,3400,0,3400,3400,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-03-31",3400,3396,4,3392,3392,0,3414,3402,262,3410,3402,60970,3384,3384,0,3402,3402,0,3462,3448,352,3400,3400,0,3400,3400,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-04-01",3404,3404,2,3394,3394,0,3414,3408,56,3414,3406,17896,3384,3384,0,3414,3414,0,3458,3456,106,3426,3426,0,3440,3440,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-04-02",3410,3394,4,3388,3388,20,3374,3390,882,3390,3404,28570,3384,3384,0,3414,3414,0,3442,3456,190,3426,3426,0,3440,3440,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-04-03",3428,3414,4,3388,3388,0,3392,3384,1042,3410,3398,20706,3384,3384,0,3414,3414,0,3454,3446,182,3432,3432,0,3440,3440,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-04-04",3414,3414,0,3426,3420,4,3416,3398,122,3440,3422,21360,3410,3410,2,3414,3414,0,3480,3470,594,3456,3456,0,3446,3446,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-04-08",3466,3450,20,3484,3466,6,3460,3446,182,3480,3468,40286,3430,3430,2,3446,3446,0,3512,3496,1850,3492,3492,0,3494,3494,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-04-09",3466,3466,6,3452,3452,2,3444,3444,408,3452,3462,32902,3430,3430,0,3446,3446,0,3492,3496,200,3492,3492,0,3494,3494,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-04-10",3456,3456,0,3452,3452,0,3424,3442,146,3446,3456,19630,3424,3424,0,3446,3446,0,3482,3490,124,3492,3492,0,3494,3494,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-04-11",3456,3456,16,3448,3448,0,3362,3418,34,3434,3440,13100,3424,3424,0,3446,3446,0,3476,3476,142,3492,3492,0,3494,3494,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
