"DATETIME","SHFE.NI.2015.07.CLOSE","SHFE.NI.2015.07.SETTLE","SHFE.NI.2015.07.VOLUME","SHFE.NI.2015.08.CLOSE","SHFE.NI.2015.08.SETTLE","SHFE.NI.2015.08.VOLUME","SHFE.NI.2015.09.CLOSE","SHFE.NI.2015.09.SETTLE","SHFE.NI.2015.09.VOLUME","SHFE.NI.2015.10.CLOSE","SHFE.NI.2015.10.SETTLE","SHFE.NI.2015.10.VOLUME","SHFE.NI.2015.11.CLOSE","SHFE.NI.2015.11.SETTLE","SHFE.NI.2015.11.VOLUME","SHFE.NI.2015.12.CLOSE","SHFE.NI.2015.12.SETTLE","SHFE.NI.2015.12.VOLUME","SHFE.NI.2016.01.CLOSE","SHFE.NI.2016.01.SETTLE","SHFE.NI.2016.01.VOLUME","SHFE.NI.2016.02.CLOSE","SHFE.NI.2016.02.SETTLE","SHFE.NI.2016.02.VOLUME","SHFE.NI.2016.03.CLOSE","SHFE.NI.2016.03.SETTLE","SHFE.NI.2016.03.VOLUME","SHFE.NI.2016.04.CLOSE","SHFE.NI.2016.04.SETTLE","SHFE.NI.2016.04.VOLUME","SHFE.NI.2016.05.CLOSE","SHFE.NI.2016.05.SETTLE","SHFE.NI.2016.05.VOLUME","SHFE.NI.2016.06.CLOSE","SHFE.NI.2016.06.SETTLE","SHFE.NI.2016.06.VOLUME","SHFE.NI.2016.07.CLOSE","SHFE.NI.2016.07.SETTLE","SHFE.NI.2016.07.VOLUME","SHFE.NI.2016.08.CLOSE","SHFE.NI.2016.08.SETTLE","SHFE.NI.2016.08.VOLUME","SHFE.NI.2016.09.CLOSE","SHFE.NI.2016.09.SETTLE","SHFE.NI.2016.09.VOLUME","SHFE.NI.2016.10.CLOSE","SHFE.NI.2016.10.SETTLE","SHFE.NI.2016.10.VOLUME","SHFE.NI.2016.11.CLOSE","SHFE.NI.2016.11.SETTLE","SHFE.NI.2016.11.VOLUME","SHFE.NI.2016.12.CLOSE","SHFE.NI.2016.12.SETTLE","SHFE.NI.2016.12.VOLUME","SHFE.NI.2017.01.CLOSE","SHFE.NI.2017.01.SETTLE","SHFE.NI.2017.01.VOLUME"
"2015-03-27",101080,101180,28860,101210,101270,742,101000,101420,392,101970,101200,20,101260,101690,20,101000,101870,12,101240,101360,120,100900,101260,114,101430,100980,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-03-30",98430,98390,66684,98520,98380,796,98730,98800,574,98650,98490,18,97300,97260,6,99170,99310,64,98610,98860,276,98100,98710,18,99740,98890,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-03-31",95040,95950,105600,94900,95420,2070,94940,95920,1550,95580,95580,2,96040,96460,64,96220,97160,92,96530,97260,154,97000,97940,30,97100,98280,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-01",92500,92870,158952,92700,92910,1256,92460,92990,1116,93480,93510,6,92850,93550,76,93240,93460,6,93760,94080,192,97940,97940,0,95500,95500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-02",96160,94320,202848,96000,94220,1456,95910,94090,1772,94140,94440,40,96310,95030,60,96040,95450,120,95740,95870,246,96600,96600,12,97300,97200,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-03",97300,96530,150282,96900,96390,318,96840,96140,492,97260,97260,2,96360,96360,0,96520,96220,14,97380,96360,42,96510,96510,4,97890,96990,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-07",96420,96790,75688,96070,96450,1222,96100,96610,1258,96020,97630,58,97640,97640,2,96380,96970,20,96460,97420,52,96600,97060,12,96660,97590,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-08",93950,94450,183088,93550,94280,1618,93580,94000,3328,93830,94250,8,94340,94490,24,94720,95210,8,94190,94440,316,94600,94040,30,94610,94870,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-09",94300,94500,160974,93840,94010,710,93700,94040,1838,94450,94570,18,94720,94850,4,94990,94990,4,94170,94060,148,93660,93660,0,94670,94890,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-10",94540,94080,137722,94240,93630,512,94140,93820,1078,94350,94350,0,93710,93710,6,94000,94260,10,94340,93700,108,93790,94030,8,94550,94350,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
