"DATETIME","SHFE.PB.2011.09.CLOSE","SHFE.PB.2011.09.SETTLE","SHFE.PB.2011.09.VOLUME","SHFE.PB.2011.10.CLOSE","SHFE.PB.2011.10.SETTLE","SHFE.PB.2011.10.VOLUME","SHFE.PB.2011.11.CLOSE","SHFE.PB.2011.11.SETTLE","SHFE.PB.2011.11.VOLUME","SHFE.PB.2011.12.CLOSE","SHFE.PB.2011.12.SETTLE","SHFE.PB.2011.12.VOLUME","SHFE.PB.2012.01.CLOSE","SHFE.PB.2012.01.SETTLE","SHFE.PB.2012.01.VOLUME","SHFE.PB.2012.02.CLOSE","SHFE.PB.2012.02.SETTLE","SHFE.PB.2012.02.VOLUME","SHFE.PB.2012.03.CLOSE","SHFE.PB.2012.03.SETTLE","SHFE.PB.2012.03.VOLUME","SHFE.PB.2012.04.CLOSE","SHFE.PB.2012.04.SETTLE","SHFE.PB.2012.04.VOLUME","SHFE.PB.2012.05.CLOSE","SHFE.PB.2012.05.SETTLE","SHFE.PB.2012.05.VOLUME","SHFE.PB.2012.06.CLOSE","SHFE.PB.2012.06.SETTLE","SHFE.PB.2012.06.VOLUME","SHFE.PB.2012.07.CLOSE","SHFE.PB.2012.07.SETTLE","SHFE.PB.2012.07.VOLUME","SHFE.PB.2012.08.CLOSE","SHFE.PB.2012.08.SETTLE","SHFE.PB.2012.08.VOLUME","SHFE.PB.2012.09.CLOSE","SHFE.PB.2012.09.SETTLE","SHFE.PB.2012.09.VOLUME","SHFE.PB.2012.10.CLOSE","SHFE.PB.2012.10.SETTLE","SHFE.PB.2012.10.VOLUME","SHFE.PB.2012.11.CLOSE","SHFE.PB.2012.11.SETTLE","SHFE.PB.2012.11.VOLUME","SHFE.PB.2012.12.CLOSE","SHFE.PB.2012.12.SETTLE","SHFE.PB.2012.12.VOLUME","SHFE.PB.2013.01.CLOSE","SHFE.PB.2013.01.SETTLE","SHFE.PB.2013.01.VOLUME","SHFE.PB.2013.02.CLOSE","SHFE.PB.2013.02.SETTLE","SHFE.PB.2013.02.VOLUME","SHFE.PB.2013.03.CLOSE","SHFE.PB.2013.03.SETTLE","SHFE.PB.2013.03.VOLUME","SHFE.PB.2013.04.CLOSE","SHFE.PB.2013.04.SETTLE","SHFE.PB.2013.04.VOLUME","SHFE.PB.2013.05.CLOSE","SHFE.PB.2013.05.SETTLE","SHFE.PB.2013.05.VOLUME","SHFE.PB.2013.06.CLOSE","SHFE.PB.2013.06.SETTLE","SHFE.PB.2013.06.VOLUME","SHFE.PB.2013.07.CLOSE","SHFE.PB.2013.07.SETTLE","SHFE.PB.2013.07.VOLUME","SHFE.PB.2013.08.CLOSE","SHFE.PB.2013.08.SETTLE","SHFE.PB.2013.08.VOLUME","SHFE.PB.2013.09.CLOSE","SHFE.PB.2013.09.SETTLE","SHFE.PB.2013.09.VOLUME","SHFE.PB.2013.10.CLOSE","SHFE.PB.2013.10.SETTLE","SHFE.PB.2013.10.VOLUME","SHFE.PB.2013.11.CLOSE","SHFE.PB.2013.11.SETTLE","SHFE.PB.2013.11.VOLUME","SHFE.PB.2013.12.CLOSE","SHFE.PB.2013.12.SETTLE","SHFE.PB.2013.12.VOLUME","SHFE.PB.2014.01.CLOSE","SHFE.PB.2014.01.SETTLE","SHFE.PB.2014.01.VOLUME","SHFE.PB.2014.02.CLOSE","SHFE.PB.2014.02.SETTLE","SHFE.PB.2014.02.VOLUME","SHFE.PB.2014.03.CLOSE","SHFE.PB.2014.03.SETTLE","SHFE.PB.2014.03.VOLUME","SHFE.PB.2014.04.CLOSE","SHFE.PB.2014.04.SETTLE","SHFE.PB.2014.04.VOLUME","SHFE.PB.2014.05.CLOSE","SHFE.PB.2014.05.SETTLE","SHFE.PB.2014.05.VOLUME","SHFE.PB.2014.06.CLOSE","SHFE.PB.2014.06.SETTLE","SHFE.PB.2014.06.VOLUME","SHFE.PB.2014.07.CLOSE","SHFE.PB.2014.07.SETTLE","SHFE.PB.2014.07.VOLUME","SHFE.PB.2014.08.CLOSE","SHFE.PB.2014.08.SETTLE","SHFE.PB.2014.08.VOLUME","SHFE.PB.2014.09.CLOSE","SHFE.PB.2014.09.SETTLE","SHFE.PB.2014.09.VOLUME","SHFE.PB.2014.10.CLOSE","SHFE.PB.2014.10.SETTLE","SHFE.PB.2014.10.VOLUME","SHFE.PB.2014.11.CLOSE","SHFE.PB.2014.11.SETTLE","SHFE.PB.2014.11.VOLUME","SHFE.PB.2014.12.CLOSE","SHFE.PB.2014.12.SETTLE","SHFE.PB.2014.12.VOLUME","SHFE.PB.2015.01.CLOSE","SHFE.PB.2015.01.SETTLE","SHFE.PB.2015.01.VOLUME","SHFE.PB.2015.02.CLOSE","SHFE.PB.2015.02.SETTLE","SHFE.PB.2015.02.VOLUME","SHFE.PB.2015.03.CLOSE","SHFE.PB.2015.03.SETTLE","SHFE.PB.2015.03.VOLUME","SHFE.PB.2015.04.CLOSE","SHFE.PB.2015.04.SETTLE","SHFE.PB.2015.04.VOLUME","SHFE.PB.2015.05.CLOSE","SHFE.PB.2015.05.SETTLE","SHFE.PB.2015.05.VOLUME","SHFE.PB.2015.06.CLOSE","SHFE.PB.2015.06.SETTLE","SHFE.PB.2015.06.VOLUME","SHFE.PB.2015.07.CLOSE","SHFE.PB.2015.07.SETTLE","SHFE.PB.2015.07.VOLUME","SHFE.PB.2015.08.CLOSE","SHFE.PB.2015.08.SETTLE","SHFE.PB.2015.08.VOLUME","SHFE.PB.2015.09.CLOSE","SHFE.PB.2015.09.SETTLE","SHFE.PB.2015.09.VOLUME","SHFE.PB.2015.10.CLOSE","SHFE.PB.2015.10.SETTLE","SHFE.PB.2015.10.VOLUME","SHFE.PB.2015.11.CLOSE","SHFE.PB.2015.11.SETTLE","SHFE.PB.2015.11.VOLUME","SHFE.PB.2015.12.CLOSE","SHFE.PB.2015.12.SETTLE","SHFE.PB.2015.12.VOLUME","SHFE.PB.2016.01.CLOSE","SHFE.PB.2016.01.SETTLE","SHFE.PB.2016.01.VOLUME","SHFE.PB.2016.02.CLOSE","SHFE.PB.2016.02.SETTLE","SHFE.PB.2016.02.VOLUME","SHFE.PB.2016.03.CLOSE","SHFE.PB.2016.03.SETTLE","SHFE.PB.2016.03.VOLUME","SHFE.PB.2016.04.CLOSE","SHFE.PB.2016.04.SETTLE","SHFE.PB.2016.04.VOLUME","SHFE.PB.2016.05.CLOSE","SHFE.PB.2016.05.SETTLE","SHFE.PB.2016.05.VOLUME","SHFE.PB.2016.06.CLOSE","SHFE.PB.2016.06.SETTLE","SHFE.PB.2016.06.VOLUME","SHFE.PB.2016.07.CLOSE","SHFE.PB.2016.07.SETTLE","SHFE.PB.2016.07.VOLUME","SHFE.PB.2016.08.CLOSE","SHFE.PB.2016.08.SETTLE","SHFE.PB.2016.08.VOLUME","SHFE.PB.2016.09.CLOSE","SHFE.PB.2016.09.SETTLE","SHFE.PB.2016.09.VOLUME","SHFE.PB.2016.10.CLOSE","SHFE.PB.2016.10.SETTLE","SHFE.PB.2016.10.VOLUME","SHFE.PB.2016.11.CLOSE","SHFE.PB.2016.11.SETTLE","SHFE.PB.2016.11.VOLUME","SHFE.PB.2016.12.CLOSE","SHFE.PB.2016.12.SETTLE","SHFE.PB.2016.12.VOLUME","SHFE.PB.2017.01.CLOSE","SHFE.PB.2017.01.SETTLE","SHFE.PB.2017.01.VOLUME"
"2011-03-24",18935,19095,73440,18955,19285,592,19050,19405,40,19110,19380,38,19250,19530,150,19370,19390,14,18350,18350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011-03-25",18950,18995,24858,19045,19045,226,19105,19105,2,19205,19255,4,19300,19360,18,19440,19440,2,19150,19150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011-03-28",18605,18775,16960,18690,18795,78,18930,18930,2,19085,19155,4,18955,19115,14,19175,19310,6,19310,19310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011-03-29",18675,18635,10618,18765,18740,26,18780,18780,4,19050,18860,8,18955,18955,2,19145,19145,6,19145,19145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011-03-30",18760,18755,8086,18875,18835,20,18920,18920,4,18880,18880,8,19160,19100,14,19245,19245,2,19245,19245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011-03-31",18665,18650,3056,18705,18735,4,18950,18970,6,18910,18975,4,18945,19020,6,19245,19245,2,18855,19165,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011-04-01",18640,18665,2550,18800,18790,116,18970,18970,6,18910,18910,2,18995,18995,2,19215,19215,2,19135,19135,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011-04-06",19220,19080,15400,19360,19135,54,19290,19290,6,19215,19215,2,19650,19640,8,19480,19480,2,19490,19490,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011-04-07",19075,19135,10426,19210,19275,122,19290,19290,6,19215,19215,2,19560,19560,8,19480,19480,2,19490,19490,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011-04-08",19175,19145,8434,19340,19320,46,19355,19355,6,19260,19260,2,19560,19560,2,19480,19480,2,19490,19490,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
