"DATETIME","SHFE.RB.2009.09.CLOSE","SHFE.RB.2009.09.SETTLE","SHFE.RB.2009.09.VOLUME","SHFE.RB.2009.10.CLOSE","SHFE.RB.2009.10.SETTLE","SHFE.RB.2009.10.VOLUME","SHFE.RB.2009.11.CLOSE","SHFE.RB.2009.11.SETTLE","SHFE.RB.2009.11.VOLUME","SHFE.RB.2009.12.CLOSE","SHFE.RB.2009.12.SETTLE","SHFE.RB.2009.12.VOLUME","SHFE.RB.2010.01.CLOSE","SHFE.RB.2010.01.SETTLE","SHFE.RB.2010.01.VOLUME","SHFE.RB.2010.02.CLOSE","SHFE.RB.2010.02.SETTLE","SHFE.RB.2010.02.VOLUME","SHFE.RB.2010.03.CLOSE","SHFE.RB.2010.03.SETTLE","SHFE.RB.2010.03.VOLUME","SHFE.RB.2010.04.CLOSE","SHFE.RB.2010.04.SETTLE","SHFE.RB.2010.04.VOLUME","SHFE.RB.2010.05.CLOSE","SHFE.RB.2010.05.SETTLE","SHFE.RB.2010.05.VOLUME","SHFE.RB.2010.06.CLOSE","SHFE.RB.2010.06.SETTLE","SHFE.RB.2010.06.VOLUME","SHFE.RB.2010.07.CLOSE","SHFE.RB.2010.07.SETTLE","SHFE.RB.2010.07.VOLUME","SHFE.RB.2010.08.CLOSE","SHFE.RB.2010.08.SETTLE","SHFE.RB.2010.08.VOLUME","SHFE.RB.2010.09.CLOSE","SHFE.RB.2010.09.SETTLE","SHFE.RB.2010.09.VOLUME","SHFE.RB.2010.10.CLOSE","SHFE.RB.2010.10.SETTLE","SHFE.RB.2010.10.VOLUME","SHFE.RB.2010.11.CLOSE","SHFE.RB.2010.11.SETTLE","SHFE.RB.2010.11.VOLUME","SHFE.RB.2010.12.CLOSE","SHFE.RB.2010.12.SETTLE","SHFE.RB.2010.12.VOLUME","SHFE.RB.2011.01.CLOSE","SHFE.RB.2011.01.SETTLE","SHFE.RB.2011.01.VOLUME","SHFE.RB.2011.02.CLOSE","SHFE.RB.2011.02.SETTLE","SHFE.RB.2011.02.VOLUME","SHFE.RB.2011.03.CLOSE","SHFE.RB.2011.03.SETTLE","SHFE.RB.2011.03.VOLUME","SHFE.RB.2011.04.CLOSE","SHFE.RB.2011.04.SETTLE","SHFE.RB.2011.04.VOLUME","SHFE.RB.2011.05.CLOSE","SHFE.RB.2011.05.SETTLE","SHFE.RB.2011.05.VOLUME","SHFE.RB.2011.06.CLOSE","SHFE.RB.2011.06.SETTLE","SHFE.RB.2011.06.VOLUME","SHFE.RB.2011.07.CLOSE","SHFE.RB.2011.07.SETTLE","SHFE.RB.2011.07.VOLUME","SHFE.RB.2011.08.CLOSE","SHFE.RB.2011.08.SETTLE","SHFE.RB.2011.08.VOLUME","SHFE.RB.2011.09.CLOSE","SHFE.RB.2011.09.SETTLE","SHFE.RB.2011.09.VOLUME","SHFE.RB.2011.10.CLOSE","SHFE.RB.2011.10.SETTLE","SHFE.RB.2011.10.VOLUME","SHFE.RB.2011.11.CLOSE","SHFE.RB.2011.11.SETTLE","SHFE.RB.2011.11.VOLUME","SHFE.RB.2011.12.CLOSE","SHFE.RB.2011.12.SETTLE","SHFE.RB.2011.12.VOLUME","SHFE.RB.2012.01.CLOSE","SHFE.RB.2012.01.SETTLE","SHFE.RB.2012.01.VOLUME","SHFE.RB.2012.02.CLOSE","SHFE.RB.2012.02.SETTLE","SHFE.RB.2012.02.VOLUME","SHFE.RB.2012.03.CLOSE","SHFE.RB.2012.03.SETTLE","SHFE.RB.2012.03.VOLUME","SHFE.RB.2012.04.CLOSE","SHFE.RB.2012.04.SETTLE","SHFE.RB.2012.04.VOLUME","SHFE.RB.2012.05.CLOSE","SHFE.RB.2012.05.SETTLE","SHFE.RB.2012.05.VOLUME","SHFE.RB.2012.06.CLOSE","SHFE.RB.2012.06.SETTLE","SHFE.RB.2012.06.VOLUME","SHFE.RB.2012.07.CLOSE","SHFE.RB.2012.07.SETTLE","SHFE.RB.2012.07.VOLUME","SHFE.RB.2012.08.CLOSE","SHFE.RB.2012.08.SETTLE","SHFE.RB.2012.08.VOLUME","SHFE.RB.2012.09.CLOSE","SHFE.RB.2012.09.SETTLE","SHFE.RB.2012.09.VOLUME","SHFE.RB.2012.10.CLOSE","SHFE.RB.2012.10.SETTLE","SHFE.RB.2012.10.VOLUME","SHFE.RB.2012.11.CLOSE","SHFE.RB.2012.11.SETTLE","SHFE.RB.2012.11.VOLUME","SHFE.RB.2012.12.CLOSE","SHFE.RB.2012.12.SETTLE","SHFE.RB.2012.12.VOLUME","SHFE.RB.2013.01.CLOSE","SHFE.RB.2013.01.SETTLE","SHFE.RB.2013.01.VOLUME","SHFE.RB.2013.02.CLOSE","SHFE.RB.2013.02.SETTLE","SHFE.RB.2013.02.VOLUME","SHFE.RB.2013.03.CLOSE","SHFE.RB.2013.03.SETTLE","SHFE.RB.2013.03.VOLUME","SHFE.RB.2013.04.CLOSE","SHFE.RB.2013.04.SETTLE","SHFE.RB.2013.04.VOLUME","SHFE.RB.2013.05.CLOSE","SHFE.RB.2013.05.SETTLE","SHFE.RB.2013.05.VOLUME","SHFE.RB.2013.06.CLOSE","SHFE.RB.2013.06.SETTLE","SHFE.RB.2013.06.VOLUME","SHFE.RB.2013.07.CLOSE","SHFE.RB.2013.07.SETTLE","SHFE.RB.2013.07.VOLUME","SHFE.RB.2013.08.CLOSE","SHFE.RB.2013.08.SETTLE","SHFE.RB.2013.08.VOLUME","SHFE.RB.2013.09.CLOSE","SHFE.RB.2013.09.SETTLE","SHFE.RB.2013.09.VOLUME","SHFE.RB.2013.10.CLOSE","SHFE.RB.2013.10.SETTLE","SHFE.RB.2013.10.VOLUME","SHFE.RB.2013.11.CLOSE","SHFE.RB.2013.11.SETTLE","SHFE.RB.2013.11.VOLUME","SHFE.RB.2013.12.CLOSE","SHFE.RB.2013.12.SETTLE","SHFE.RB.2013.12.VOLUME","SHFE.RB.2014.01.CLOSE","SHFE.RB.2014.01.SETTLE","SHFE.RB.2014.01.VOLUME","SHFE.RB.2014.02.CLOSE","SHFE.RB.2014.02.SETTLE","SHFE.RB.2014.02.VOLUME","SHFE.RB.2014.03.CLOSE","SHFE.RB.2014.03.SETTLE","SHFE.RB.2014.03.VOLUME","SHFE.RB.2014.04.CLOSE","SHFE.RB.2014.04.SETTLE","SHFE.RB.2014.04.VOLUME","SHFE.RB.2014.05.CLOSE","SHFE.RB.2014.05.SETTLE","SHFE.RB.2014.05.VOLUME","SHFE.RB.2014.06.CLOSE","SHFE.RB.2014.06.SETTLE","SHFE.RB.2014.06.VOLUME","SHFE.RB.2014.07.CLOSE","SHFE.RB.2014.07.SETTLE","SHFE.RB.2014.07.VOLUME","SHFE.RB.2014.08.CLOSE","SHFE.RB.2014.08.SETTLE","SHFE.RB.2014.08.VOLUME","SHFE.RB.2014.09.CLOSE","SHFE.RB.2014.09.SETTLE","SHFE.RB.2014.09.VOLUME","SHFE.RB.2014.10.CLOSE","SHFE.RB.2014.10.SETTLE","SHFE.RB.2014.10.VOLUME","SHFE.RB.2014.11.CLOSE","SHFE.RB.2014.11.SETTLE","SHFE.RB.2014.11.VOLUME","SHFE.RB.2014.12.CLOSE","SHFE.RB.2014.12.SETTLE","SHFE.RB.2014.12.VOLUME","SHFE.RB.2015.01.CLOSE","SHFE.RB.2015.01.SETTLE","SHFE.RB.2015.01.VOLUME","SHFE.RB.2015.02.CLOSE","SHFE.RB.2015.02.SETTLE","SHFE.RB.2015.02.VOLUME","SHFE.RB.2015.03.CLOSE","SHFE.RB.2015.03.SETTLE","SHFE.RB.2015.03.VOLUME","SHFE.RB.2015.04.CLOSE","SHFE.RB.2015.04.SETTLE","SHFE.RB.2015.04.VOLUME","SHFE.RB.2015.05.CLOSE","SHFE.RB.2015.05.SETTLE","SHFE.RB.2015.05.VOLUME","SHFE.RB.2015.06.CLOSE","SHFE.RB.2015.06.SETTLE","SHFE.RB.2015.06.VOLUME","SHFE.RB.2015.07.CLOSE","SHFE.RB.2015.07.SETTLE","SHFE.RB.2015.07.VOLUME","SHFE.RB.2015.08.CLOSE","SHFE.RB.2015.08.SETTLE","SHFE.RB.2015.08.VOLUME","SHFE.RB.2015.09.CLOSE","SHFE.RB.2015.09.SETTLE","SHFE.RB.2015.09.VOLUME","SHFE.RB.2015.10.CLOSE","SHFE.RB.2015.10.SETTLE","SHFE.RB.2015.10.VOLUME","SHFE.RB.2015.11.CLOSE","SHFE.RB.2015.11.SETTLE","SHFE.RB.2015.11.VOLUME","SHFE.RB.2015.12.CLOSE","SHFE.RB.2015.12.SETTLE","SHFE.RB.2015.12.VOLUME","SHFE.RB.2016.01.CLOSE","SHFE.RB.2016.01.SETTLE","SHFE.RB.2016.01.VOLUME","SHFE.RB.2016.02.CLOSE","SHFE.RB.2016.02.SETTLE","SHFE.RB.2016.02.VOLUME","SHFE.RB.2016.03.CLOSE","SHFE.RB.2016.03.SETTLE","SHFE.RB.2016.03.VOLUME","SHFE.RB.2016.04.CLOSE","SHFE.RB.2016.04.SETTLE","SHFE.RB.2016.04.VOLUME","SHFE.RB.2016.05.CLOSE","SHFE.RB.2016.05.SETTLE","SHFE.RB.2016.05.VOLUME","SHFE.RB.2016.06.CLOSE","SHFE.RB.2016.06.SETTLE","SHFE.RB.2016.06.VOLUME","SHFE.RB.2016.07.CLOSE","SHFE.RB.2016.07.SETTLE","SHFE.RB.2016.07.VOLUME","SHFE.RB.2016.08.CLOSE","SHFE.RB.2016.08.SETTLE","SHFE.RB.2016.08.VOLUME","SHFE.RB.2016.09.CLOSE","SHFE.RB.2016.09.SETTLE","SHFE.RB.2016.09.VOLUME","SHFE.RB.2016.10.CLOSE","SHFE.RB.2016.10.SETTLE","SHFE.RB.2016.10.VOLUME","SHFE.RB.2016.11.CLOSE","SHFE.RB.2016.11.SETTLE","SHFE.RB.2016.11.VOLUME","SHFE.RB.2016.12.CLOSE","SHFE.RB.2016.12.SETTLE","SHFE.RB.2016.12.VOLUME","SHFE.RB.2017.01.CLOSE","SHFE.RB.2017.01.SETTLE","SHFE.RB.2017.01.VOLUME"
"2009-03-27",3561,3577,354590,3584,3593,4076,3562,3603,460,3620,3631,330,3631,3641,516,3601,3593,70,3635,3634,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009-03-30",3544,3548,145168,3581,3578,614,3601,3593,40,3631,3595,10,3630,3632,30,3602,3605,8,3638,3616,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009-03-31",3549,3549,70592,3578,3575,172,3600,3600,84,3615,3623,32,3645,3662,92,3650,3650,8,3654,3652,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009-04-01",3547,3549,28100,3583,3582,158,3634,3621,32,3640,3638,72,3662,3662,92,3650,3650,8,3660,3671,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009-04-02",3473,3481,235446,3519,3521,516,3521,3534,58,3585,3578,106,3635,3626,96,3591,3618,44,3626,3627,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009-04-03",3448,3456,152376,3485,3492,1006,3520,3533,48,3560,3555,188,3597,3605,62,3605,3622,18,3615,3625,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009-04-07",3491,3482,242578,3522,3516,590,3563,3545,26,3590,3591,46,3649,3619,152,3622,3622,18,3693,3671,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009-04-08",3463,3469,147288,3502,3502,254,3522,3532,40,3588,3588,46,3585,3606,54,3625,3625,6,3665,3668,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009-04-09",3468,3472,87688,3490,3487,366,3522,3522,2,3586,3586,46,3588,3596,24,3625,3625,6,3662,3669,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009-04-10",3484,3485,120978,3510,3511,496,3566,3540,34,3599,3595,36,3620,3614,120,3646,3644,38,3698,3681,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
