"DATETIME","SHFE.SN.2015.07.CLOSE","SHFE.SN.2015.07.SETTLE","SHFE.SN.2015.07.VOLUME","SHFE.SN.2015.08.CLOSE","SHFE.SN.2015.08.SETTLE","SHFE.SN.2015.08.VOLUME","SHFE.SN.2015.09.CLOSE","SHFE.SN.2015.09.SETTLE","SHFE.SN.2015.09.VOLUME","SHFE.SN.2015.10.CLOSE","SHFE.SN.2015.10.SETTLE","SHFE.SN.2015.10.VOLUME","SHFE.SN.2015.11.CLOSE","SHFE.SN.2015.11.SETTLE","SHFE.SN.2015.11.VOLUME","SHFE.SN.2015.12.CLOSE","SHFE.SN.2015.12.SETTLE","SHFE.SN.2015.12.VOLUME","SHFE.SN.2016.01.CLOSE","SHFE.SN.2016.01.SETTLE","SHFE.SN.2016.01.VOLUME","SHFE.SN.2016.02.CLOSE","SHFE.SN.2016.02.SETTLE","SHFE.SN.2016.02.VOLUME","SHFE.SN.2016.03.CLOSE","SHFE.SN.2016.03.SETTLE","SHFE.SN.2016.03.VOLUME","SHFE.SN.2016.04.CLOSE","SHFE.SN.2016.04.SETTLE","SHFE.SN.2016.04.VOLUME","SHFE.SN.2016.05.CLOSE","SHFE.SN.2016.05.SETTLE","SHFE.SN.2016.05.VOLUME","SHFE.SN.2016.06.CLOSE","SHFE.SN.2016.06.SETTLE","SHFE.SN.2016.06.VOLUME","SHFE.SN.2016.07.CLOSE","SHFE.SN.2016.07.SETTLE","SHFE.SN.2016.07.VOLUME","SHFE.SN.2016.08.CLOSE","SHFE.SN.2016.08.SETTLE","SHFE.SN.2016.08.VOLUME","SHFE.SN.2016.09.CLOSE","SHFE.SN.2016.09.SETTLE","SHFE.SN.2016.09.VOLUME","SHFE.SN.2016.10.CLOSE","SHFE.SN.2016.10.SETTLE","SHFE.SN.2016.10.VOLUME","SHFE.SN.2016.11.CLOSE","SHFE.SN.2016.11.SETTLE","SHFE.SN.2016.11.VOLUME","SHFE.SN.2016.12.CLOSE","SHFE.SN.2016.12.SETTLE","SHFE.SN.2016.12.VOLUME","SHFE.SN.2017.01.CLOSE","SHFE.SN.2017.01.SETTLE","SHFE.SN.2017.01.VOLUME"
"2015-03-27",119270,119230,1798,119260,119240,10,120190,120190,0,120190,119680,14,120190,120190,0,120190,120190,0,119100,120660,10,120660,120660,0,120660,120660,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-03-30",118080,117720,2468,117850,117230,38,117010,117010,2,117730,117730,2,118230,118230,0,118230,118230,0,118280,117740,6,117900,117900,2,117900,117900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-03-31",118160,117790,4522,117300,117300,0,117080,117080,0,117800,117800,0,118300,118300,0,118300,118300,0,117810,117810,0,117970,117970,0,117970,117970,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-01",117910,118280,4374,118000,117840,12,117620,117620,0,118500,118500,2,119000,119000,0,119000,119000,0,118510,118510,0,118470,118470,2,118470,118470,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-02",118620,118540,2716,118100,118100,0,117880,117880,0,118480,118650,10,119150,119150,0,119150,119150,0,118790,118790,2,118740,118740,0,118740,118740,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-03",118850,118950,1390,118340,118340,0,117880,117880,0,118650,118650,0,119150,119150,0,116680,118980,4,118620,118620,0,118570,118570,0,118740,118740,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-07",118860,118630,848,118340,118340,0,117560,117560,0,118330,118330,0,119230,119230,0,118660,118660,0,118300,118300,0,118250,118250,0,118250,118250,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-08",117870,118200,848,118040,118040,0,117370,119220,8,120000,120000,0,120910,120910,0,120340,120340,0,118420,118570,4,118520,118520,0,118520,118520,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-09",116790,117190,816,117040,117040,0,118210,118210,0,117960,117960,4,118850,118850,0,118290,118290,0,116550,116550,0,116500,116500,0,116500,116500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-10",115990,115860,2418,116280,116280,0,116480,116000,18,117360,117360,2,118240,118240,0,117680,117680,0,115950,115950,0,115900,115900,0,115900,115900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
